"Final_Cell_Type","CD3D","CD3E","CD3G","TRBC1","TRBC2","CD8A","CD8B","CCL5","CST7","GZMK","GZMA","NKG7","CCL4","CCL4L2","LYZ","S100A8","S100A9","FCN1","CD14","VCAN","TREM1","FCAR","FPR2","CTSS","CTSD","LGALS3","OLR1","CST3","C1QA","C1QB","C1QC","APOE","TREM2","CD68","MSR1","MARCO","LPL"
"B_Cell",0.0287984787706128,0.0347319140127146,0.0208001616213665,0.0170440778678286,0.783886207015788,0.0175715048870127,0.00484778122144777,0.196986905525478,0.0896472679689467,0.0173150901724869,0.0429237908862062,0.12102733284087,0.24413739602122,0.093809183487785,0.00709930847728794,0.00760263202202016,0.0113542466920418,0.00189862990718728,0.00093511309386224,0.0109250601030621,0.00253040954413917,0,0,0.91545329204868,0.0319490270098533,0.11712717113835,0.000527494776840299,0.023189715936767,0.00170242059269428,0.000741500830482334,0.000202342095845839,0.00146273315052684,0,0.07256644725383,0,0.00065080400382035,0
"CD4_T",1.81925111218038,2.4131948725286,1.08043374715905,0.790320159349262,1.03407095075582,0.506868124973364,0.288790675504251,1.42130600498901,1.21476004647821,0.895696061044866,0.894966086756553,0.729373834815209,0.461866121020273,0.0770909777550358,0.0169670267988793,0.0312143726229738,0.0151697032532421,0.00322862006881547,0.00232147315889245,0.000760187063853526,0.000367082445848418,0.000269267628390234,0,0.363245354958418,0.114684973134086,0.329034373484252,0.000180853987220328,0.0256954070916484,0.00184997997874842,0.00105884445447919,0.00286912181047217,0.00113530771914725,6.02453854432913e-05,0.00884851816379994,0,0.000178252637456511,0
"CD8_T",2.04350397950614,2.58204970712587,1.1209636422129,0.948072655184967,1.39410711341565,1.99218474649734,1.11170888711715,3.71931187098593,2.82702220035596,2.1881861951224,2.36639494870663,2.99948109911233,2.32056260795996,0.743936289437749,0.0181205184556622,0.018016363575759,0.00725904768221452,0.00146448101261749,0.000875418479633619,0.000988235581019862,0.000191428430889839,0.000137029436225608,6.49030974851251e-05,0.41815673920632,0.181367928113633,0.180302319906072,0.00044054530995355,0.026104042687539,0.00200035788291902,0.00183146597208506,0.00127190172410652,0.00190287454680493,0.000302944466646642,0.00810960075077631,0.000224235903733551,4.14729981125273e-05,8.92448972326375e-05
"Dendritic_Cell",0.0463273633614911,0.0658530385341639,0.0285043080994996,0.023271690152836,0.0379035937544227,0.0593047248521299,0.0119297309442977,0.176537197567815,0.601121707663118,0.070686454342614,0.054363605761962,0.160738423397136,0.436180804945137,0.289576824534858,3.43302530748627,0.216757345633659,0.498802022198189,0.434630584584562,0.322479009379381,0.143940755208441,0.196619773757263,0.00668988039571038,0.0211979979020866,1.62204383852961,0.275105008713381,1.39266986821599,0.265817508718425,4.62572447774575,0.889508499657132,0.861880734075656,0.805029995056177,0.377683347300656,0.12899518429676,1.2382503073546,0.232533146455396,0.174499166101723,0.0120320782226282
"MAIT",2.02221744813617,2.58652910808681,0.968720519855308,0.791355902314835,1.23206690039957,1.63350858770041,0.385286608724647,2.6267949778405,2.27544672060185,1.78129467898504,1.96435214526458,2.17056104999784,1.74247833957736,0.432757931489976,0.0159045865647787,0.0177879026676749,0.0195877852532176,0.00129290983243482,0.00116332604636443,0.00144407393785139,0.00012267306093505,0.000225089391829824,0.000273656430715167,0.333407345597,0.156231995527263,0.356064083196919,0.000405500840125868,0.024634971294148,0.00276476553074504,0.00203367188612639,0.00271631850600748,0.00218831416105289,0,0.0097140681765738,2.56041109473958e-05,0.000381413232081729,0.000685313745762143
"Monocyte_Myeloid",0.00729985098740772,0.0149271228430694,0.00325657420178259,0.00759163662619265,0.0126564772869318,0.00553289748437895,0.00481918995859321,0.0630397073400665,0.0496317313966213,0.0171319250638708,0.0251871422302657,0.196600842822437,0.769297052335081,0.343847411039703,3.39118231325142,2.80168424041734,3.15753704980301,2.37145417000303,0.902334852211983,1.38651610819849,0.880926625334876,0.34541966562836,0.379744048739476,2.88406694319831,0.735966347162177,1.47068372289359,0.366204789669355,3.73283480610314,0.212600986693567,0.122313538603423,0.0700707578367638,0.00642566135578003,0.011432014061132,1.85662223988798,0.145811982215899,0.130429630785432,0.0194842734722453
"NK",0.594441622307427,1.29922788809769,0.401524326990604,1.27412814558645,1.3380630134287,0.613699766931865,0.269963420529273,3.0749345125405,3.20168512751781,0.885915885198365,2.5521157907434,4.14284243112753,2.61896715587812,0.609292718496499,0.01222735062307,0.0147144243360185,0.00837307818473931,0.00112531517526779,0.00162492910826308,0.00188559509635672,0.000233056450353805,0.000220942619870372,0,0.462018660110751,0.300454691233432,0.110868289402378,0.000386425346723937,0.0968343352379017,0.00169377815518333,0.00212106736303065,0.00172752930844316,0.00102278150949644,0,0.00789818776633735,0.000207228489720055,0.000176034549982806,0
"Plasma_Cell",0.00651156296286124,0.00652409470602679,0.00151162610000226,0.0253861120925214,0.129173557061739,0.00378794180417582,0.000969068114730835,0.0583994796846177,0.0106968334061856,0.00190928748447413,0.0299567401843988,0.0346656482633426,0.0942119304177866,0.00972943365444869,0.00292518941851167,0.00228715743900082,0.00515232170995503,0.000514144413104083,0,0,0,0,0,0.53715445360366,0.115524989973258,0.443280609626741,0,0.0701059277879994,0.00151905088412641,0.000688465183431453,0,0.000611338218942245,0,0.0811205964547703,0,0,0
"Treg",2.03408827563809,2.59634968821983,1.12289255144124,0.85447754788144,1.51773871087627,0.174556989955032,0.0607330720150818,0.649590053878815,1.5399810018322,0.564386171356411,0.833178418167272,0.292940346103914,0.597484107656632,0.0550635082224901,0.00668534541041193,0.011920182919045,0.00366813186015102,0,0.00162097396850314,0,0,0,0,0.389706292575972,0.163664074500818,0.387674584342482,0,0.0181804449181148,0.000354209665602687,0.00154839106724023,0.000234296486161678,0.00118322011331178,0,0.00442101067380912,0,0,0.00336520896581267
"Unresolved_Lymphoid",1.91573750694649,2.82666019622299,0.896734837751538,0.773014502647271,0.929012102670149,1.26362863180346,0.268053902993663,3.30175238494582,2.53149807192658,2.10913980128831,2.87156921886761,2.72781692466611,1.93270076896151,0.391179863611857,0,0.00475792376222888,0.00358809201452091,0,0,0,0,0,0,0.232483305587235,0.0277983360473016,0.1447389737627,0,0.000829602681855459,0.000532780476785738,0.000372711299244687,0.000136922978915533,0.00029440911250449,0,0.00165306323813175,0,8.76380821055004e-05,0
