"Atlas_Cluster","Donor","Cells"
"9","D529354",9
"9","D529409",20
"9","Dhc570",38
"9","P190326",4
"9","P190402",43
"9","P190604",26
"9","P190716",19
"9","P190719",106
"9","P190801",14
"9","P190808",33
"9","P190910",11
"9","P190911",76
"9","P191008",36
"9","P191028",33
"9","P191112",55
"9","P191126",28
"9","P191127",57
"9","P191210",23
"9","P191217",16
