Rank,Gene
412,STAT4
413,PMAIP1
414,ATP2B1
415,IKZF2
416,RAB11FIP1
417,HSPA8
418,TOMM7
419,IGSF6
420,SELENOK
421,LAPTM5
422,FAM107B
423,CCNH
424,CD79B
425,PIM3
426,COMMD6
427,ZC3H12A
428,DDX3X
429,GNA15
430,CYTIP
431,LINC01943
432,TPM4
433,RSRP1
434,SLC38A2
435,PTMS
436,SC5D
437,TOB1
438,CD6
439,KPNA2
440,CHD1
441,TBX21
442,FBXO32
443,PNRC1
444,HINT1
445,CD99
446,MT-ND4
447,CD37
448,MIF
449,PTPRCAP
450,CORO1A
451,GAPDH
452,EVL
453,CNN2
454,ANXA5
455,HSPB1
456,AFF3
457,BRD2
458,KIAA1551
459,CD4
460,RBM38
461,AUTS2
462,PPIF
463,RELB
464,NCF1
465,LYST
466,SLFN5
467,CTSC
468,TGFBR3
469,BCL3
470,MYH9
471,HLA-DMB
472,CD48
473,CD82
474,RORC
475,RIPOR2
476,SYNE1
477,H2AFX
478,BTG1
479,NPM1
480,PSAP
481,HNRNPA2B1
482,UQCRB
483,GNG7
484,PPIB
485,TBC1D4
486,NDUFS5
487,ICAM2
488,SLC25A6
489,LY86
490,BEX3
491,LYPD3
492,CCND2
493,RNF125
494,SMAP2
495,SYAP1
496,APOBEC3G
497,MATK
498,RUNX3
499,PIM2
500,F2R
501,TUBB
502,PLK3
503,MT-ND2
504,UBB
505,SARAF
506,MYL12A
507,EEF2
508,PTPRC
509,HMGB1
510,DDX5
511,ELF1
512,YBX1
513,CALM2
514,HNRNPA1
515,LY6E
516,DRAIC
517,ITM2B
518,GSPT1
519,CD86
520,COX7C
521,ATP5MC2
522,SUB1
523,IKZF3
524,TWISTNB
525,ARPC2
526,PPDPF
527,RNF213
528,SFPQ
529,BTF3
530,AC016831.7
531,TMIGD2
532,H2AFJ
533,ANKRD12
534,FUS
535,CSRNP1
536,C1orf54
537,FGR
538,BLVRB
539,WARS
540,BCL11B
541,HIST1H1C
542,NCAM1
543,CEBPB
544,BAZ1A
545,MAFF
546,ZBTB16
547,MGAT4A
548,FAS
549,UBC
550,PSME2
551,YWHAZ
552,DNAJB6
553,CACYBP
554,NCL
555,ATP5MG
556,RAC2
557,STK17A
558,CTSZ
559,STK17B
560,ERN1
561,NOP53
562,COX4I1
563,AKNA
564,DDX21
565,OST4
566,CCNI
567,DSTN
568,CARD16
569,YWHAB
570,RILPL2
571,PRNP
572,KLF10
573,IL27RA
574,LYAR
575,SLC25A5
576,MT1F
577,CMSS1
578,CD63
579,PDCL3
580,SAMD3
581,ARHGAP9
582,KCNA3
583,TOX
584,SRGN
585,MT-ND5
586,MT-ATP8
587,LSP1
588,PCBP1
589,ARPC1B
590,JAK1
591,TPI1
592,PFDN5
593,GYPC
594,SNRPD2
595,CHCHD2
596,SOD1
597,NME2
598,GLRX
599,SKP1
600,CYCS
601,AHI1
602,GLIPR1
603,CDKN1B
604,ARG2
605,GABARAPL1
606,SERPINB1
607,PLP2
608,USP36
609,BCL2L11
610,GTF3C1
611,SLC16A3
612,FOXP1
613,FCGRT
614,CORO1B
615,ZC3H6
616,LIME1
617,HNRNPDL
618,NLRP3
619,FCMR
620,ELOVL5
621,FLT3LG
622,ATP8A1
623,ANXA2
624,ZDBF2
625,GPR35
626,PTTG1
627,ALG13
628,LINC00944
629,NUCB2
630,GPR174
631,CLIC1
632,PRR7
633,MYLIP
634,AC007384.1
635,TMSB10
636,CALM1
637,ARHGDIB
638,SSR4
639,TPM3
640,PSMB9
641,LCK
642,MYL12B
643,NACA
644,ATP5F1E
645,HIST2H2AA4
646,ALDOA
647,EIF3G
648,SLC38A1
649,MBNL1
650,GUK1
651,AL035413.1
652,LGMN
653,ZFAND2A
654,TRGC2
655,SEC61B
656,WIPF1
657,EIF3K
658,SUMO2
659,CIRBP
660,HNRNPU
661,GABARAP
662,ARPC3
663,NSMCE3
664,PCBP2
665,SRP14
666,KMT2E
667,TTC39C
668,SERP1
669,ASXL2
670,DENND2D
671,PRMT9
672,ARRDC3
673,ARL5B
674,CD84
675,P2RY14
676,PLCG2
677,P2RY8
678,RCAN3
679,AC004687.1
680,GLUD1
681,ARAP2
682,TNFRSF25
683,CXCL16
684,ABI3
685,GPCPD1
686,DUSP16
687,CRYBG1
688,CDK17
689,AKAP13
690,CBLB
691,PRKCH
692,TLE1
693,SORL1
694,ANXA2R
695,TNIK
696,MT-ND1
697,H3F3A
698,MT-ATP6
699,SNHG8
700,TPT1
701,NPC2
702,TMA7
703,OAZ1
704,UQCR11
705,RHOA
706,TYMP
707,PDLIM1
708,SKAP1
709,BBC3
710,MT-CYB
711,APRT
712,MMP23B
713,TXN
714,TRAF3IP3
715,LCP2
716,CD96
717,COX8A
718,SRSF5
719,MX1
720,SYNGR2
721,SAMHD1
722,IL1R2
723,TNFSF13B
724,COX5B
725,UBL5
726,EIF4A3
727,GFOD1
728,AC025164.1
729,GIMAP5
730,ZFAS1
731,RAN
732,GYG1
733,SKIL
734,CDKN2A
735,SNHG12
736,COX6A1
737,MBP
738,SMCHD1
739,HIST1H3H
740,IER5
741,IL18RAP
742,MRPL18
743,IL16
744,PTPN6
745,BCL2
746,SELENOM
747,SRSF3
748,MRPS6
749,GOLGB1
750,AC243960.1
751,AC026979.2
752,NBL1
753,HNRNPUL1
754,ELMSAN1
755,P2RY10
756,AC015912.3
757,ATP6V0C
758,HIST1H2AI
759,S1PR4
760,ZBTB38
761,PRDX2
762,STX11
763,SLC20A1
764,CAST
765,SERTAD3
766,TGIF1
767,GPR137B
768,FAM169A
769,TERF1
770,H3F3B
771,FKBP4
772,UBA52
773,RACK1
774,TSPO
775,KLRK1
776,NOSIP
777,GALM
778,MYL6
779,EIF4G2
780,TMSB4X
781,MT-ND3
782,SON
783,GRASP
784,SEPT1
785,HIGD2A
786,HEXIM1
787,AC013264.1
788,IL2RG
789,EDF1
790,TMBIM6
791,TRIR
792,SCML4
793,ELOB
794,PGK1
795,MIR4435-2HG
796,SNAI1
797,KRTCAP2
798,PSME1
799,POLR2L
800,HLA-F
801,MT-ND4L
802,CAPZB
803,RHOC
804,CKLF
805,SOCS3
806,EEF1D
807,C1orf61
808,APMAP
809,NDUFA3
810,COX7A2
811,COX6B1
812,CNOT6L
813,IFI6
814,CCT4
815,IRF7
816,C9orf16
817,PAXX
818,PSMB10
819,IDS
820,YWHAH
821,ACAP1
822,AGPAT5
823,PLPP5
824,BAX
825,HMGN1
826,CD244
827,DAZAP2
828,HCG18
829,EIF5
830,COX6C
831,PDIA3
832,MIB2
833,DAD1
834,MRPL1
835,SLC25A3
836,TOP2A
837,SLC9A3R1
838,PKM
839,AC006369.1
840,CD53
841,TMCC3
842,NDUFB2
843,ETV3
844,PPP1R16B
845,CUTA
846,CTSH
847,FNDC3B
848,IZUMO4
849,CDC25B
850,BPGM
851,AC011446.2
852,LMO4
853,SNHG9
854,DDX17
855,ZC3HAV1
856,TPST2
857,UAP1
858,TMEM258
859,HNRNPK
860,PSMA7
861,TESC
862,DBI
863,UBE2D3
864,ARID4B
865,MAT2A
866,SEPT7
867,CHST7
868,MSN
869,GBP2
870,PIK3IP1
871,ABHD17A
872,LRRFIP1
873,SLC4A4
874,DRAP1
875,MXRA7
876,ARHGEF9
877,IGF2R
878,DCXR
879,ZBTB20
880,TUBA1C
881,SLFN13
882,RALGAPA1
883,SH3BP5
