"Atlas_Cluster","GSM","Cells"
"4","GSM5519504",1127
"4","GSM5519506",19
"4","GSM5519508",19
"4","GSM5519510",232
"4","GSM5519512",22
"5","GSM5519469",27
"5","GSM5519471",33
"5","GSM5519472",109
"5","GSM5519475",59
"5","GSM5519483",56
"5","GSM5519484",78
"5","GSM5519485",14
"5","GSM5519486",49
"5","GSM5519487",104
"5","GSM5519488",77
"5","GSM5519494",136
"5","GSM5519495",96
"5","GSM5519496",115
"5","GSM5519497",123
"5","GSM5519499",157
"5","GSM5519502",58
"5","GSM5519506",61
"5","GSM5519508",122
"5","GSM5519512",43
"6","GSM5519469",20
"6","GSM5519471",2
"6","GSM5519472",37
"6","GSM5519475",11
"6","GSM5519477",123
"6","GSM5519483",80
"6","GSM5519484",16
"6","GSM5519485",34
"6","GSM5519486",6
"6","GSM5519487",78
"6","GSM5519488",11
"6","GSM5519494",4
"6","GSM5519495",15
"6","GSM5519496",24
"6","GSM5519497",44
"6","GSM5519499",14
"6","GSM5519502",36
"6","GSM5519504",462
"6","GSM5519506",16
"6","GSM5519508",27
"6","GSM5519510",143
"6","GSM5519512",21
"7","GSM5519469",7
"7","GSM5519472",48
"7","GSM5519475",55
"7","GSM5519483",1
"7","GSM5519484",13
"7","GSM5519485",15
"7","GSM5519487",1
"7","GSM5519488",1
"7","GSM5519494",52
"7","GSM5519495",21
"7","GSM5519496",49
"7","GSM5519497",378
"7","GSM5519499",181
"7","GSM5519502",105
"7","GSM5519506",41
"7","GSM5519508",44
"7","GSM5519512",118
"8","GSM5519469",9
"8","GSM5519471",11
"8","GSM5519472",12
"8","GSM5519475",17
"8","GSM5519483",3
"8","GSM5519484",9
"8","GSM5519485",14
"8","GSM5519486",3
"8","GSM5519487",142
"8","GSM5519488",132
"8","GSM5519491",13
"8","GSM5519495",25
"8","GSM5519496",31
"8","GSM5519497",37
"8","GSM5519499",525
"8","GSM5519502",13
"8","GSM5519506",10
"8","GSM5519508",26
"8","GSM5519512",21
"9","GSM5519469",26
"9","GSM5519471",4
"9","GSM5519472",43
"9","GSM5519475",19
"9","GSM5519477",106
"9","GSM5519483",38
"9","GSM5519484",48
"9","GSM5519485",20
"9","GSM5519486",3
"9","GSM5519487",9
"9","GSM5519488",20
"9","GSM5519494",11
"9","GSM5519495",33
"9","GSM5519496",14
"9","GSM5519497",76
"9","GSM5519499",33
"9","GSM5519502",55
"9","GSM5519504",36
"9","GSM5519506",28
"9","GSM5519508",57
"9","GSM5519510",23
"9","GSM5519512",16
