HVG,Frequency,Median_Rank
IL26,7,1516
AC002553.1,7,1517
C19orf44,7,1526
CAPS,7,1526
TRIM46,7,1529
FOLR2,7,1533
AP000766.1,7,1536
STXBP5-AS1,7,1536
AL354710.2,7,1538
TXN,7,1541
AC120193.1,7,1563
AC073335.2,7,1565
IQCG,7,1569
TLN2,7,1569
SGCE,7,1573
AC133644.2,7,1574
CSF1R,7,1588
CEP78,7,1594
AL390763.2,7,1595
LINC00334,7,1595
KLF10,7,1596
AC126755.2,7,1597
CLU,7,1597
IL27RA,7,1598
AF131216.4,7,1602
ZFYVE9,7,1610
DBI,7,1614
SEC24B-AS1,7,1618
LRFN3,7,1620
WARS,7,1623
AK1,7,1626
GCSAM,7,1630
SPEG,7,1642
SPATA21,7,1645
OVCH1-AS1,7,1651
FCGBP,7,1660
FAM131B,7,1670
MT1F,7,1676
APP,7,1684
ACSM3,7,1697
APMAP,7,1699
ITK,7,1702
KCNJ14,7,1702
PECAM1,7,1727
ANXA2,7,1731
MCTP2,7,1732
AC117382.2,7,1739
LINC02273,7,1742
AC010331.1,7,1746
ARHGEF28,7,1757
MGAT4A,7,1760
TOX,7,1813
BACE2,7,1816
TMEM256-PLSCR3,7,1823
PRR7,7,1856
FAS,7,1860
GPR174,7,1869
PYGM,7,1888
AC233755.1,6,29.5
CGA,6,113.5
IGKV1D-43,6,133.5
IGKV1D-13,6,171
IGLV2-18,6,228.5
TIMP3,6,251.5
PPP1R2C,6,255
IGKV1D-12,6,263.5
CCL19,6,288
IGKV1-37,6,292.5
UBC,6,314
AL365226.2,6,319
IGKV1D-16,6,354.5
IGLC7,6,367.5
AC083973.1,6,413.5
CDC20B,6,434.5
ZNF365,6,510
NNAT,6,573.5
CLEC1B,6,581
AC096711.3,6,588.5
GLI3,6,591.5
UBD,6,600
AC026740.1,6,601.5
AC133065.1,6,602
NID2,6,608
SPIRE2,6,612
AC135782.3,6,612.5
MT-ND5,6,625
TNFRSF17,6,627
RETN,6,631
LINC01727,6,637
PCP2,6,650
SLIT3,6,651.5
AC007342.4,6,665
MT1H,6,666
AC022893.1,6,668.5
ZNF418,6,671
MMP19,6,682.5
ZNF775,6,686
FLJ45513,6,690.5
AC012414.5,6,691
FGB,6,702
DLG2,6,703.5
LIX1-AS1,6,721
MEOX1,6,722
KRTAP5-2,6,727
AC074050.4,6,728
CPB2-AS1,6,729.5
TIMD4,6,739
ARHGEF26,6,744
Z83844.3,6,746.5
AC005329.1,6,747
GOLGA6L10,6,748
CEP170B,6,749
FOXA3,6,751
AC007038.1,6,757
AC080013.6,6,765
NKILA,6,776
AC240565.1,6,789.5
AC139795.3,6,791
KANK2,6,793.5
SYNE4,6,795
TSPAN10,6,796.5
UXT-AS1,6,797.5
FAM153B,6,800.5
CCDC3,6,801.5
Z95115.1,6,807
CELSR3,6,807.5
CRYGS,6,808
CRABP2,6,810
BX649632.1,6,811
TMEM155,6,830
FFAR2,6,836
AL160313.1,6,843.5
HP,6,844
AC092835.1,6,845.5
AC092718.1,6,848.5
MCEMP1,6,850
FZD9,6,854.5
ESM1,6,855.5
KCNIP2,6,856
LGALS4,6,856.5
GTSCR1,6,857
PANO1,6,859.5
CLIP3,6,860.5
AC116158.1,6,867.5
ZFP92,6,869.5
F7,6,870
GLB1L3,6,873
LIM2,6,877.5
RGS7BP,6,883.5
AC106864.1,6,885.5
C9orf116,6,888
AC093690.1,6,890
AC007029.1,6,892.5
LINC02323,6,896.5
APOH,6,899.5
ALDOA,6,904
AC073863.1,6,907
TAS2R30,6,907.5
UBE2C,6,909.5
TPI1,6,910.5
HEY1,6,915
TF,6,918.5
NPR2,6,921
AL049840.1,6,924
AL031708.1,6,924.5
MANEAL,6,929.5
AC008440.1,6,930
LINC02352,6,931.5
OIT3,6,936
TBX20,6,936
TMC3-AS1,6,936
AC055713.1,6,939
NCBP2-AS1,6,941.5
LINC02076,6,942.5
PHKA1,6,942.5
AC008115.1,6,943
AC024940.1,6,946
HIST1H4K,6,951
GRAPL,6,955
FNDC9,6,958.5
AK8,6,959
AC074386.1,6,963.5
NPC2,6,972.5
HIST1H2BB,6,973
FOXD2-AS1,6,973.5
AC008555.1,6,974.5
SRSF12,6,975.5
LEXM,6,976
IL20RB,6,981.5
AL390198.1,6,982.5
AC106886.5,6,983
AC004076.2,6,984.5
AC005775.1,6,985
SALL2,6,986.5
ALPL,6,987
DGCR6,6,989
MDC1-AS1,6,990
GRID2IP,6,991
CCDC144A,6,997.5
UBE2F-SCLY,6,1000
GPRASP2,6,1003.5
AC103563.7,6,1008
AC011773.1,6,1008.5
MANSC1,6,1009
AC048382.6,6,1011
AC134772.1,6,1013
LINC02539,6,1016.5
CHSY3,6,1019
BOK,6,1020
EIF3G,6,1020.5
ARSJ,6,1023
MCMDC2,6,1023.5
CTSZ,6,1028
TBC1D8B,6,1029
AL451074.2,6,1029.5
AL512625.3,6,1029.5
MAMDC4,6,1031.5
FAM218A,6,1032
HCN3,6,1032.5
NTRK2,6,1032.5
AL391244.3,6,1033.5
DYNLRB2,6,1034
AC011773.4,6,1037
STXBP6,6,1042.5
H1FX-AS1,6,1044
CFAP157,6,1045.5
AC008393.1,6,1047
TNXB,6,1047.5
AL109811.1,6,1049
CXADR,6,1049.5
KCNQ3,6,1058
KRT23,6,1061
LINC01825,6,1061.5
GASAL1,6,1062
HSPA12A,6,1062
LLPH-DT,6,1062
C20orf204,6,1065
KSR2,6,1070.5
SH3BGRL2,6,1072
RASL11B,6,1073
OGN,6,1073.5
FERMT2,6,1075
AL020998.1,6,1076
AL354919.1,6,1077
AC245014.3,6,1078
NTNG2,6,1078
CHRNA1,6,1078.5
FCRL5,6,1082.5
EPHX4,6,1083
AC093627.5,6,1087.5
AL139246.3,6,1087.5
ATP5MG,6,1088
MYL12B,6,1088.5
LINC01725,6,1089.5
AC104170.1,6,1090.5
ZNF70,6,1093.5
SLC2A1-AS1,6,1094.5
GPC1,6,1096.5
AC135068.9,6,1097
BRWD1-AS2,6,1098
ZNF774,6,1098
SNHG8,6,1101
DOCK3,6,1102
STAM-AS1,6,1108
ELL3,6,1109.5
GPR19,6,1111.5
JADE3,6,1112
CNTNAP1,6,1112.5
AC005838.2,6,1113.5
AC018630.2,6,1113.5
MSANTD1,6,1113.5
ST3GAL5-AS1,6,1114.5
AC008840.1,6,1116.5
ADM5,6,1119
ZNF252P-AS1,6,1122
ZNF559-ZNF177,6,1125
BEND4,6,1127
PPIL6,6,1128.5
LINC00470,6,1129.5
PAXBP1-AS1,6,1129.5
ITGA3,6,1130
PCBP2,6,1136
AC027702.1,6,1141
CARNS1,6,1141.5
C1QTNF3,6,1150.5
LCN10,6,1151.5
AC024267.4,6,1153.5
POU3F1,6,1166.5
KMT2E,6,1168
AC092490.1,6,1169.5
AMOT,6,1173
AL590708.1,6,1173.5
MELTF,6,1174.5
AL136295.5,6,1175.5
FAM153C,6,1176.5
AC009275.1,6,1178
RANBP17,6,1178
CORO6,6,1182.5
OLFM2,6,1184.5
AP001636.3,6,1187.5
ADCY4,6,1193
LINC02422,6,1194
TTC16,6,1194
ACVR2B,6,1199
KHDRBS2,6,1199.5
RNF43,6,1202
DPY19L2,6,1203
AC016588.2,6,1203.5
TCAP,6,1204
NEFH,6,1205
SYCP3,6,1209.5
AL358472.5,6,1210
GABARAP,6,1210
SLC35G2,6,1210
CCDC62,6,1212
RBM44,6,1214.5
AARD,6,1216
SUMO2,6,1216
HEY2,6,1217
AC073842.2,6,1222
AC098818.2,6,1222
FMO5,6,1222
PLS3,6,1222.5
AC009185.1,6,1225
CYCS,6,1229
BGLAP,6,1230
AC001226.2,6,1231
USP51,6,1233.5
ZC3H12B,6,1233.5
OTOF,6,1234
RBFOX3,6,1236.5
AC114811.2,6,1239.5
ADGRA2,6,1240
HIST1H2BM,6,1240.5
AC112907.3,6,1241
AC104971.3,6,1241.5
COX4I1,6,1243
AC015819.2,6,1244
AC005842.1,6,1245
CTRL,6,1248
LINC00896,6,1253.5
COX6A2,6,1254.5
HCRT,6,1254.5
ANKRD23,6,1255
HOXA10,6,1256.5
AL031848.2,6,1258
HIST1H3E,6,1260.5
AL359182.2,6,1261.5
LARGE1,6,1269
ACVR1C,6,1270.5
