Cluster,Module_Label,Top_Score,Second_Score,Score_Gap,Confidence
0,CD8_T,0.53016143849497,0.37183982730781995,0.15832161118715005,Moderate
1,NK,0.9775878692625085,0.3177742678807632,0.6598136013817453,High
10,MAIT,0.7206788719748992,0.40763157815875084,0.3130472938161484,High
11,Monocyte_Myeloid,1.4809415259226082,1.1458281973206208,0.3351133286019874,High
12,B_Cell,1.8059275269468626,0.35481663168363936,1.4511108952632232,High
13,NK,1.325607620762223,0.3269741378478685,0.9986334829143544,High
14,NK,0.6345358597018641,0.231094915713309,0.4034409439885551,High
15,Plasma_Cell,1.9008132902369888,0.5137279754896462,1.3870853147473425,High
16,pDC,1.8642207461996092,0.9763259265247786,0.8878948196748306,High
2,CD4_T,0.650092607350867,0.25538676711132857,0.3947058402395385,High
3,CD8_T,0.8079865750243544,0.7266235286180225,0.08136304640633196,Low
4,NK,0.45530180251188396,0.07386144707581273,0.38144035543607124,High
5,MAIT,0.8057269626302517,0.3303756376020165,0.4753513250282352,High
6,CD8_T,0.4761163130361508,0.3869855182063097,0.0891307948298411,Low
7,CD8_T,0.4052208175266535,0.28603358235082077,0.11918723517583274,Moderate
8,CD4_T,0.5588344578832801,0.5387511318336263,0.020083326049653794,Low
9,CD8_T,0.39257789941700694,0.3159910769479072,0.07658682246909976,Low
