"scores.Central.memory.CD8.T.cells","scores.Classical.monocytes","scores.Effector.memory.CD8.T.cells","scores.Exhausted.B.cells","scores.Follicular.helper.T.cells","scores.Intermediate.monocytes","scores.Low.density.basophils","scores.Low.density.neutrophils","scores.MAIT.cells","scores.Myeloid.dendritic.cells","scores.Naive.B.cells","scores.Naive.CD4.T.cells","scores.Naive.CD8.T.cells","scores.Natural.killer.cells","scores.Non.switched.memory.B.cells","scores.Non.Vd2.gd.T.cells","scores.Non.classical.monocytes","scores.Plasmablasts","scores.Plasmacytoid.dendritic.cells","scores.Progenitor.cells","scores.Switched.memory.B.cells","scores.T.regulatory.cells","scores.Terminal.effector.CD4.T.cells","scores.Terminal.effector.CD8.T.cells","scores.Th1.cells","scores.Th1.Th17.cells","scores.Th17.cells","scores.Th2.cells","scores.Vd2.gd.T.cells","labels","delta.next","Cluster"
0.636412449084798,0.311136876293325,0.698445848581367,0.319450329629112,0.573298493367134,0.386193595023723,0.302086922505196,0.257539866780299,0.63529905978039,0.353614487943714,0.305051090311811,0.538470880611211,0.504167760861013,0.576654853364717,0.30909015978821,0.64194581023579,0.349861290962134,0.322679391074614,0.33105303483612,0.381323703092205,0.32406035775493,0.599835608877992,0.615355269356372,0.67151823872272,0.622704164050587,0.618935293163584,0.602306849570538,0.592969141769632,0.663464971592768,"Effector memory CD8 T cells",0.0532976688148183,"0"
0.582819816356872,0.351004121058532,0.674676797929842,0.344567198593424,0.525722428904057,0.436739302597629,0.351250533540728,0.301450434532055,0.604982320173238,0.393900859854438,0.334734157246926,0.499047696010388,0.462131094999953,0.660756826120137,0.3399714692712,0.673973224377092,0.399019711332544,0.339562888919741,0.364064048818305,0.413060487673906,0.348762401363874,0.547992419438587,0.622654806352193,0.685925749812421,0.580223683250476,0.571166763038835,0.562989527101808,0.54708914223872,0.667919787876417,"Natural killer cells",0.0886184105919765,"1"
0.572672147547371,0.263880610614095,0.634135179671493,0.367585346530115,0.52551444149112,0.325470453341313,0.265238185036022,0.223977087037369,0.608145552951601,0.303473443361498,0.342897844714756,0.471004517040727,0.425371196629556,0.516105303959853,0.351421833597487,0.572060842871221,0.291957601177453,0.389693594990506,0.29065875526742,0.362095265414382,0.369912963399075,0.545709180139315,0.554240325560425,0.605206440426978,0.565267435353125,0.581868376737707,0.567618949351833,0.533567516682216,0.609878858589065,"MAIT cells",0.122438504282067,"10"
0.61547198389502,0.289331820641368,0.641075739130147,0.305111075095405,0.605496961490069,0.34347539855453,0.28868173524466,0.245233582756427,0.584894703527585,0.333315988921686,0.268992966204518,0.537891666383546,0.485198006475729,0.472395416740871,0.278988712986514,0.547726652710054,0.317301856180416,0.327446179531571,0.314385111489657,0.336410437630351,0.300347973172997,0.643194484001633,0.567095817768663,0.58122694885392,0.63589595454768,0.618650630298764,0.616810225974939,0.608742310040428,0.582256506811011,"T regulatory cells",0.0751000573612404,"11"
0.581402845835731,0.312837644884484,0.672819495756932,0.322026598182159,0.520167497898726,0.407218779463449,0.326560586226693,0.270406788816774,0.592297784181404,0.353118458346902,0.309788144046618,0.490174493602813,0.461127562614839,0.666240885565811,0.315791991166177,0.680233899768774,0.36312221073464,0.319246444281442,0.336517134450454,0.391527483077085,0.323157996500358,0.541273075355316,0.633869057121999,0.696034915436498,0.571562736034145,0.560581706326045,0.549199923652166,0.535031374236448,0.668721828784471,"Natural killer cells",0.232890316239403,"12"
0.500405726467068,0.362269769877129,0.563664010200549,0.351534658479694,0.440063588815643,0.443237239125302,0.37831035065844,0.318677733227248,0.560163485040404,0.409058720553252,0.354577181144356,0.421304088601607,0.406260123558018,0.654200438100628,0.346138619222058,0.61349592572062,0.413128140742511,0.339547353599095,0.367945684351669,0.439511666353151,0.349205439298589,0.454193222362591,0.529766480636425,0.578904530069414,0.479416481775987,0.484419621096192,0.46844475177035,0.452713673213386,0.606106150501672,"Natural killer cells",0.29333063312444,"13"
0.45517750603929,0.328359548530191,0.555197264467691,0.428328390691546,0.404621767749217,0.406786781340047,0.349604237606014,0.291949742305141,0.516893524118913,0.374413820009147,0.409593517047118,0.374212085105223,0.3350933181528,0.627334888702716,0.409896840260855,0.597000372687744,0.373848798529616,0.44314891951306,0.357428368483172,0.453567302996294,0.419491746207869,0.434163857916225,0.516976365573244,0.567779701941296,0.456777401650858,0.448091081404198,0.433719252134202,0.420544468569308,0.574406683785928,"Natural killer cells",0.438232960363429,"14"
0.221619253620243,0.768848720810828,0.273555969760709,0.445552626255258,0.211073039232194,0.772551619825672,0.457325407101717,0.576219257707115,0.28552227166478,0.738569770693238,0.473734257853242,0.205033911861342,0.175488194683842,0.397265653564853,0.464650171185398,0.316664104708758,0.748455724215635,0.386222247620923,0.475009720697057,0.475327820798323,0.446704524039196,0.231639472107085,0.299835703747804,0.284069726437581,0.231255646431315,0.245394997177064,0.244961249424036,0.231792141811982,0.293625502295616,"Classical monocytes",0.14452777762094,"15"
0.177316121113689,0.760557317525219,0.220964631466085,0.434279347780675,0.171729133150091,0.753700939954833,0.445927344232005,0.560238569447866,0.223375114552586,0.715945576395951,0.462449197632781,0.181734706287195,0.164356679653522,0.352432084028432,0.447803031210351,0.266379084304881,0.728695456514944,0.377422705297751,0.469161821455397,0.482514282964066,0.436485416614019,0.187505028162788,0.253184876406866,0.23454122143407,0.187820775522573,0.200473443816063,0.191372108957012,0.189567614672191,0.241092463646378,"Classical monocytes",0.0766070606654079,"16"
0.267589725187259,0.702767901248805,0.323937942546624,0.460568775840315,0.243821435520136,0.716428056663628,0.450527818454964,0.508878699782665,0.326303981592925,0.77265406203991,0.478740302313124,0.235093125338981,0.209169585960289,0.448387158713774,0.473199019050287,0.373534328699387,0.699135220958988,0.409949521216334,0.55578582652391,0.506644206875954,0.453837006337246,0.268919449888129,0.335214370038818,0.324369282456489,0.273739148398195,0.280964028224317,0.277327460187943,0.273017220589869,0.342382505111267,"Myeloid dendritic cells",0.0562260053762822,"17"
0.216709549988227,0.300459632989695,0.2548221674259,0.62673087642202,0.220801039504074,0.313856403931474,0.264029227220323,0.230947875484551,0.250454278924902,0.344415586993189,0.531397095717983,0.191683523466423,0.160350188722689,0.291692454418884,0.57974177518581,0.267865383423738,0.305537865972196,0.692848395750861,0.385523632581027,0.424126789853465,0.6016299491219,0.237015743555845,0.241324997810028,0.243118213987009,0.236211330124808,0.228620387730663,0.211945075052898,0.222675710836573,0.263125832013865,"Plasmablasts",0.0661175193288407,"18"
0.348948359133629,0.477912819203401,0.388993315995817,0.423346562950351,0.31541340428817,0.504935607700504,0.394720906322052,0.356984960431739,0.389732252782361,0.567239040842429,0.427200027925845,0.312483921706502,0.290052839926496,0.460242613850805,0.426310889116528,0.414664164149821,0.497993751438917,0.385621660071922,0.690168213766105,0.482437900248224,0.419353229674631,0.333596223067884,0.379755514724202,0.376457057630145,0.352451709499386,0.343748469541868,0.340908322197257,0.343468965733473,0.39996579130178,"Plasmacytoid dendritic cells",0.122929172923676,"19"
0.655856341959214,0.29475905340224,0.662645858621656,0.300050842885479,0.630302605459539,0.350348586107764,0.303126551726764,0.237171150749432,0.642198938002639,0.343342091401902,0.282534753259383,0.600464570864928,0.545653699969239,0.509015009139877,0.288465375153764,0.589785198091157,0.323564607471051,0.304783410220334,0.323533118237853,0.366799923255433,0.300360824260724,0.660680450397619,0.610698283747348,0.609909823539995,0.67107627476377,0.674368934069714,0.673582327039546,0.655060268272123,0.639989867905317,"Th17 cells",0.060423753350824,"2"
0.606761758269945,0.315582046315035,0.643630713530209,0.305303634393731,0.556765151571707,0.380587032432087,0.310855508282902,0.25523620064994,0.686815072258058,0.357940078206127,0.290973334844422,0.516755404090761,0.472705477549492,0.542514340804437,0.300740227378014,0.597430486452647,0.346249748567051,0.314473871329436,0.328760103535807,0.36263459495715,0.30932730251422,0.574967414053092,0.576543254451646,0.608201492918878,0.594549698892888,0.622222061494841,0.62021235835004,0.57627389440819,0.643082885478288,"MAIT cells",0.534767575099999,"3"
0.652836077077582,0.278754029099692,0.709236000033405,0.297160488316783,0.585499038145172,0.349592969086576,0.284131447357296,0.228184701209217,0.637372816673344,0.322147176565966,0.272348359247607,0.553382375720391,0.510015247105419,0.571555293736417,0.279508428532941,0.640747231068325,0.31921566909769,0.314246446242547,0.314338394060404,0.348795970255527,0.295237763168326,0.610758141386414,0.621459905420394,0.680838452910466,0.639714711499691,0.625041080905271,0.614485534221391,0.598907178494128,0.668765058921917,"Effector memory CD8 T cells",0.0940080318546745,"4"
0.498198538700594,0.385252890975033,0.562471004579244,0.385736229490963,0.443979425064248,0.454129131074466,0.389562483301281,0.333162604305524,0.563738842553735,0.429070572423436,0.383987701783382,0.425109279706549,0.401220245165206,0.635728126355822,0.383696461971063,0.602258925878455,0.428235643043853,0.377093371170573,0.395602303256315,0.461505828134851,0.385813204877682,0.463564124945684,0.522944321650343,0.568189142788514,0.486100643605075,0.484990142880897,0.472522662235675,0.463768001387495,0.592315857674579,"Natural killer cells",0.292838132812598,"5"
0.649436298961072,0.296214821676496,0.662550612318424,0.296845342347105,0.612576163788396,0.359002020278059,0.300209000548922,0.242663501767743,0.669584412827127,0.3377779330573,0.280493793075389,0.573815919204171,0.525409675533993,0.526769504866574,0.285436154427435,0.596376051174792,0.322354724951835,0.310856405953846,0.324626123573186,0.363255527831858,0.300164970947142,0.636069087522195,0.60315825191252,0.619231255044064,0.653343765047813,0.662968687133526,0.665461136124591,0.627776022840407,0.655498311113789,"MAIT cells",0.613989259864694,"6"
0.629887402595274,0.298529333030859,0.684908991649187,0.325686811039718,0.573115614420904,0.363811903419096,0.294704234056483,0.247838845335895,0.628350392338845,0.338843981682208,0.300864915162816,0.529121874946339,0.493828070873836,0.553504698193358,0.309115889621135,0.624288446425138,0.329583461872841,0.332035076382731,0.328866939868907,0.365962207956236,0.323630392003942,0.59794019321295,0.608109483935599,0.656492399272771,0.618159664082504,0.610618351590446,0.598604885805966,0.586091583954401,0.643506875702534,"Effector memory CD8 T cells",0.109776558591962,"7"
0.629247884846488,0.278262002007809,0.690758554247622,0.310723980033012,0.563467245436444,0.352840994208103,0.283677068100869,0.231960822749604,0.619518348803761,0.32342520866227,0.294413060872911,0.525936623192647,0.492954995679478,0.547682028278952,0.299411512004571,0.628230586450252,0.315603466300875,0.321705649329718,0.30710862133329,0.348867445856039,0.315440323771578,0.587855193401096,0.613137176858142,0.665181740038939,0.611366822760234,0.603036703798916,0.58797518928169,0.579017298989849,0.646651558420376,"Effector memory CD8 T cells",0.0717455129763545,"8"
0.312331544053968,0.356103880476257,0.338113396283343,0.680367948777462,0.291828336656905,0.379699233811113,0.314347032707904,0.296567290182122,0.345646009168016,0.425759943789513,0.667930378297102,0.287839033710988,0.268764897387864,0.396420258582577,0.671886960403436,0.372395187103395,0.375745263792475,0.592333796033219,0.451327902830132,0.47630497651551,0.667841938273398,0.314751352903758,0.325562967755306,0.336173162479381,0.313033410602621,0.306544108387173,0.302050103353386,0.309670742441254,0.354430920153323,"Exhausted B cells",0.00221034985972324,"9"
