p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,Marker_Rank
0,1.11423906646483,0.722,0.337,0,0,RGS1,1
0,0.9574065268942112,0.824,0.425,0,0,CD8A,2
1.0326e-303,0.8428879221182175,0.863,0.534,1.9541902e-300,0,TUBA4A,3
1.5454871043648282e-287,1.147075869354064,0.587,0.232,2.9248343450104374e-283,0,CD8B,4
6.1491311794673735e-270,0.5168100916165304,0.992,0.759,1.1637230757142002e-265,0,DUSP2,5
3.7388710809209642e-252,0.5491944327128997,0.987,0.72,7.075813520642925e-248,0,CXCR4,6
2.6941310590809294e-233,0.7031881983473056,0.865,0.548,5.098643029310661e-229,0,FAM177A1,7
1.5384837598258432e-206,0.5168898651734137,0.967,0.704,2.9115805154704073e-202,0,CREM,8
3.039178393831303e-193,0.69528136352735,0.813,0.485,5.7516451103257406e-189,0,GZMK,9
1.3252450471455662e-190,0.7182338445541294,0.751,0.437,2.5080262517229838e-186,0,TENT5C,10
1.4082295915727955e-188,0.8139275284874721,0.67,0.376,2.6650745020515156e-184,0,DUSP5,11
4.5793495129299873e-178,0.6514326414400986,0.813,0.455,8.666418953219997e-174,0,HLA-DRB1,12
7.257500943295949e-173,1.3954570165386246,0.278,0.093,1.373482053518758e-168,0,TNFRSF9,13
3.622096861848253e-168,1.2265927844151876,0.36,0.149,6.854818311047819e-164,0,OASL,14
7.151312548992754e-164,0.587268672126148,0.834,0.553,1.3533858998968787e-159,0,LEPROTL1,15
8.740055899169457e-163,0.5578365871709456,0.885,0.605,1.65405557891782e-158,0,YPEL5,16
1.9928023777006686e-160,1.1692053824842157,0.353,0.145,3.771378499798515e-156,0,PDCD1,17
5.768413994176016e-159,1.2010799908384104,0.328,0.129,1.0916723483978109e-154,0,CRTAM,18
1.4540504163103626e-156,0.9766819582675929,0.469,0.24,2.7517904128673614e-152,0,SRRT,19
8.031755001310795e-156,1.2036290763683044,0.347,0.145,1.5200096339980678e-151,0,DUSP4,20
1.232545481558951e-152,0.49795908818720136,0.91,0.652,2.3325923238503147e-148,0,SELENOK,21
1.270980975104426e-152,0.6145819838837219,0.785,0.5,2.405331495385126e-148,0,ZNF331,22
2.333977963592669e-146,0.971291652507202,0.415,0.192,4.4170532960991264e-142,0,LAG3,23
1.698992549874126e-145,1.0405062044531157,0.392,0.182,3.2153434006367845e-141,0,FABP5,24
1.2262453659145912e-142,0.6849411919636552,0.66,0.401,2.3206693549933636e-138,0,RBM38,25
1.4331180506081203e-142,1.2352194689962512,0.297,0.118,2.7121759107758674e-138,0,ENC1,26
1.4764375488525372e-141,0.8166885168102369,0.531,0.295,2.794158061203426e-137,0,GABARAPL1,27
1.0543544444679469e-139,0.45722462970262434,0.947,0.685,1.9953657861555895e-135,0,NR4A2,28
1.1140387211615114e-139,0.8719564282277803,0.492,0.272,2.108318279798161e-135,0,KPNA2,29
5.797860232049521e-137,0.5861856098036329,0.765,0.498,1.0972450489153718e-132,0,PIK3R1,30
3.660563117659746e-130,0.40059806571533585,0.995,0.751,6.92761570017107e-126,0,CCL5,31
1.4177614102522486e-125,0.7030214856407551,0.488,0.243,2.6831134689023807e-121,0,HLA-DQA1,32
4.487754727800434e-123,0.38637636749386006,0.916,0.723,8.49307582236232e-119,0,SRSF7,33
4.3515339979178926e-121,0.6693170398830934,0.581,0.355,8.23527809105961e-117,0,JPT1,34
1.1921549007827706e-119,0.5763509816293801,0.709,0.451,2.256153149731393e-115,0,COTL1,35
4.342972022587123e-117,0.3456697756017566,0.971,0.795,8.219074552746132e-113,0,ZFP36,36
4.7196793300502614e-116,0.5039803314118632,0.761,0.469,8.931993132120121e-112,0,HLA-DPA1,37
3.5456887283101046e-115,0.6881691208435912,0.547,0.32,6.710215918326871e-111,0,RNF19A,38
1.4214446587427079e-114,0.3202441538004459,0.965,0.813,2.6900840166705754e-110,0,ZFP36L2,39
8.420290563725365e-113,0.6067858443593457,0.631,0.385,1.5935399891850252e-108,0,ITM2A,40
3.897582290443306e-112,0.7903908855105033,0.463,0.263,7.376174484663956e-108,0,PDCL3,41
2.237199988772902e-110,0.6236957617161498,0.604,0.379,4.233900978752717e-106,0,GSPT1,42
4.409599104901697e-108,0.4594800950828972,0.819,0.601,8.345166306026463e-104,0,DDX24,43
6.569145366968647e-108,0.4610075346211024,0.835,0.583,1.2432107606988168e-103,0,FYN,44
8.170911305600147e-107,0.591623516344308,0.656,0.431,1.5463449645848275e-102,0,RGCC,45
1.3671531114616297e-105,0.5042826751171479,0.757,0.528,2.5873372634411344e-101,0,PDCD4,46
8.294196393368436e-105,0.6497736266468892,0.563,0.356,1.5696766674449767e-100,0,IDI1,47
1.2349566937703522e-104,0.4972228438221591,0.77,0.521,2.3371555429603923e-100,0,SH2D2A,48
1.1773684235241886e-103,0.6705108864840639,0.532,0.324,2.2281697415195266e-99,0,RUNX3,49
1.655621557539205e-103,0.428538688729994,0.861,0.656,3.1332637976429456e-99,0,LDHA,50
0,4.401589604767123,0.779,0.04,0,1,FGFBP2,1
0,4.270220478102333,0.337,0.017,0,1,PRSS23,2
0,3.585605170253319,0.824,0.087,0,1,GNLY,3
0,3.464817630016265,0.277,0.028,0,1,LAIR2,4
0,3.1166516893296317,0.32,0.035,0,1,CX3CR1,5
0,3.079983641768939,0.365,0.043,0,1,ADGRG1,6
0,2.9703461131084197,0.643,0.091,0,1,FCGR3A,7
0,2.852047760294237,0.913,0.177,0,1,GZMB,8
0,2.7995307642682032,0.329,0.051,0,1,C1orf21,9
0,2.5462961143111573,0.591,0.127,0,1,SPON2,10
0,1.9794275639821808,0.497,0.136,0,1,KLRF1,11
0,1.9104181816938537,0.534,0.156,0,1,S1PR5,12
0,1.5687173457238095,0.595,0.221,0,1,C12orf75,13
0,1.5361287957766938,0.815,0.317,0,1,GZMH,14
0,1.4028950430479208,0.734,0.309,0,1,KLRD1,15
0,1.3681370966247788,0.902,0.459,0,1,PRF1,16
0,1.2148568864956524,0.726,0.372,0,1,EFHD2,17
0,0.7986330418605365,0.996,0.732,0,1,NKG7,18
3.95e-305,0.596858700199141,0.987,0.775,7.480154e-301,1,CST7,19
8.24517e-302,1.3327620000073517,0.633,0.252,1.5603974997e-297,1,TYROBP,20
3.45703296146223e-293,1.062669798376418,0.783,0.444,6.542434879567266e-292,1,CD247,21
8.070821817599703e-292,1.383873035255695,0.607,0.254,1.5274030289807436e-291,1,HOPX,22
1.1642861365183768e-291,1.5448781600804873,0.532,0.199,2.203411513361028e-292,1,PLAC8,23
3.6364732011076044e-291,2.310822666585034,0.281,0.06,6.88202553309614e-289,1,TTC38,24
3.883258572291055e-249,0.7143194574591063,0.906,0.627,7.349066848060823e-245,1,LITAF,25
3.978624784367831e-239,1.5388905365623309,0.47,0.191,7.529547404416122e-235,1,DSTN,26
4.2659414919976626e-237,0.811264010812903,0.846,0.53,8.073294273605574e-233,1,CTSW,27
2.0298598260049694e-229,1.261784697841313,0.544,0.239,3.8415097207144046e-225,1,LGALS1,28
4.5595311710126e-209,1.5322423203418103,0.355,0.116,8.628912741141345e-205,1,ENC1,29
1.2668345419843291e-194,1.7706090219643609,0.317,0.105,2.3974843707053427e-190,1,HSH2D,30
2.82111247087394e-191,1.8267702246480544,0.279,0.083,5.338955351128931e-187,1,PXN,31
8.796269000183383e-187,1.9467124618510647,0.254,0.072,1.6646939082847054e-182,1,SH2D1B,32
4.6952933774643725e-186,0.7491973288030898,0.8,0.525,8.885842716851325e-182,1,SH2D2A,33
3.0147170036884136e-181,1.6115676164322503,0.329,0.117,5.705351929480324e-177,1,CD300A,34
3.895829881483737e-176,1.4756616308867512,0.345,0.126,7.372858050707972e-172,1,TGFBR3,35
2.879687324407842e-171,1.1563690748700115,0.506,0.248,5.449808261441841e-167,1,SELPLG,36
9.465140609615067e-171,1.2337466320239372,0.428,0.179,1.7912778603696518e-166,1,CLIC3,37
3.227412239986865e-167,0.8960309194998031,0.656,0.381,6.107877664175143e-163,1,ARL4C,38
4.587531561351317e-165,1.1297734306944256,0.493,0.238,8.681903479857367e-161,1,SLA2,39
1.895182418265632e-157,1.0057511945792004,0.555,0.293,3.586632726567709e-153,1,ZEB2,40
4.652116454247745e-155,1.3011030588176975,0.384,0.163,8.804130389663857e-151,1,RAB29,41
2.2773449587048956e-145,1.5430954524066791,0.259,0.086,4.309875334349016e-141,1,S1PR1,42
3.157699047996317e-143,1.229227388241478,0.388,0.171,5.97594544833303e-139,1,TPST2,43
2.344057997639518e-142,0.9996883264878512,0.528,0.286,4.4361297605327864e-138,1,ABHD17A,44
5.983092139125489e-142,0.6663439190366951,0.771,0.537,1.1323001873294986e-137,1,GNG2,45
1.4856967989701946e-139,1.2176256310330986,0.398,0.182,2.8116811920510936e-135,1,KLF3,46
1.239840229705185e-138,1.48048646923235,0.275,0.098,2.3463976347170627e-134,1,ADRB2,47
1.9621967628176558e-134,0.435220655004271,0.925,0.768,3.713457373632414e-130,1,IFITM2,48
2.487155450444714e-125,0.500831893118137,0.839,0.66,4.706941689966621e-121,1,ITGB2,49
1.2682743696313104e-120,0.7667183455731261,0.629,0.396,2.4002092445272546e-116,1,FLNA,50
1.2037527766623125e-280,1.4046771122933648,0.914,0.497,2.278102129833426e-276,10,KLRB1,1
4.516606466075361e-217,0.7735534511035631,0.968,0.78,8.547677737047619e-213,10,S100A4,2
4.4692338184978727e-197,3.45765470670543,0.28,0.043,8.458025001507224e-193,10,CCL20,3
2.629136437072592e-195,2.54753038345823,0.406,0.091,4.9756407071598813e-191,10,TRAV1-2,4
2.516723385596882e-190,1.5982583702395132,0.747,0.322,4.762899007242099e-186,10,IL7R,5
4.018680456736435e-167,2.9485838373405517,0.308,0.062,7.605352764373704e-163,10,SLC4A10,6
4.1638466397405416e-167,0.4715374637399567,0.982,0.938,7.880079765708973e-163,10,BTG1,7
9.806816282873371e-147,0.3222514122574225,0.992,0.987,1.8559399815337855e-142,10,PTMA,8
1.84026748045496e-143,0.2764484549277304,1,0.997,3.482706206761011e-139,10,EEF1A1,9
1.0709320222055335e-138,0.28098915147507775,0.994,0.991,2.0267388520239725e-134,10,HLA-C,10
1.1855532106565638e-138,0.6455099602621326,0.931,0.789,2.243659451167547e-134,10,DUSP2,11
1.7111106581650564e-133,0.275029362797941,0.996,0.991,3.2382769205773686e-129,10,TMSB4X,12
7.320133888954863e-126,0.2584807984176134,1,0.998,1.3853353384847078e-121,10,MALAT1,13
1.3681495210293428e-116,0.2975704804070807,0.967,0.985,2.589222968548032e-112,10,MT-CO3,14
1.4498928292853347e-115,0.289580846064311,0.997,0.984,2.7439221794224957e-111,10,TPT1,15
1.7155799509211326e-113,0.6596013061940091,0.849,0.727,3.2467350571182433e-109,10,S100A6,16
5.302536692743347e-108,0.25189935686206066,0.979,0.994,1.0035050691016784e-103,10,MT-CO2,17
3.9391194030733996e-102,0.4169498161520986,0.979,0.965,7.454783470316409e-98,10,FTH1,18
1.8485125607098494e-101,1.5351792811957106,0.539,0.282,3.4983100211433905e-97,10,LINC01871,19
3.646312078835894e-101,2.1259182680324153,0.353,0.12,6.900645609196928e-97,10,CCR6,20
7.74447523757654e-101,0.5548156566156854,0.895,0.819,1.46564193871136e-96,10,ZFP36,21
1.549649974240405e-95,0.408442834091058,0.901,0.884,2.932712576249967e-91,10,PABPC1,22
4.5692601898790986e-94,1.7871668794362334,0.442,0.196,8.647324909346195e-90,10,NCR3,23
1.019981818697538e-91,1.151989339775627,0.647,0.402,1.9303155918850905e-87,10,LTB,24
1.001429688929645e-89,1.6150845984290414,0.485,0.233,1.8952056862993534e-85,10,CEBPD,25
3.0185634315998646e-89,0.2704708722955207,0.977,0.97,5.712631294302744e-85,10,TMSB10,26
2.561168251410093e-87,0.27694220703102035,0.977,0.973,4.8470109157936006e-83,10,H3F3B,27
1.4777844037988878e-83,0.5384757081975229,0.914,0.754,2.7967069841893956e-79,10,CXCR4,28
3.927709959287381e-82,0.7262026285642964,0.766,0.631,7.433191097951368e-78,10,TNFAIP3,29
1.0942969591882736e-79,1.436743001786451,0.517,0.305,2.0709569952638078e-75,10,SLC7A5,30
1.9217314202816942e-75,0.3031248710126433,0.909,0.933,3.636876712883107e-71,10,MT-ND1,31
1.4236190540619512e-73,0.3048669967842068,0.927,0.942,2.694199059812242e-69,10,HSPA8,32
3.549482438108706e-73,0.7999967292039627,0.685,0.585,6.717395514120726e-69,10,REL,33
1.0661865122309232e-71,0.91920959771761,0.639,0.478,2.017757974397022e-67,10,SPOCK2,34
5.100279817012708e-70,0.4047598898328628,0.946,0.818,9.652279553696549e-66,10,IL32,35
2.0956054194526628e-65,1.3900724057162472,0.488,0.304,3.9659332563141626e-61,10,KDM6B,36
7.139505181834693e-63,0.25907834407366037,0.914,0.937,1.3511513556622155e-58,10,GAPDH,37
6.109197861428665e-57,1.015011124268819,0.566,0.436,1.1561656952753747e-52,10,JUND,38
8.478223558167015e-57,0.2655332939331343,0.969,0.935,1.6045038083831074e-52,10,SRGN,39
2.215575642373399e-53,0.388350282663406,0.834,0.836,4.192976903191657e-49,10,ZFP36L2,40
3.156426770039897e-53,1.431895743760746,0.421,0.252,5.9735376623005046e-49,10,SERPINB9,41
1.1371985941151576e-52,0.32130663618404576,0.807,0.84,2.1521483393629356e-48,10,TMA7,42
1.9481939165263616e-50,0.7976712395591217,0.638,0.523,3.686956987026139e-46,10,NFKBIA,43
4.588751058025052e-48,0.4124580992109124,0.738,0.753,8.68421137731241e-44,10,MIF,44
1.0181772587945547e-46,0.9373135187426888,0.547,0.436,1.9269004622686946e-42,10,GPR65,45
8.315584783520948e-45,0.26686783565300587,0.837,0.868,1.5737244202813395e-40,10,EEF1B2,46
1.518639658693479e-43,0.6200886482897419,0.661,0.621,2.8740255540774094e-39,10,DDIT4,47
1.5608303141318971e-40,0.262864114273623,0.784,0.848,2.9538713694946157e-36,10,YWHAZ,48
2.5665192662747968e-39,0.25167616888075317,0.822,0.865,4.857137711425053e-35,10,PFDN5,49
7.903979277290008e-39,1.3492667869805612,0.384,0.247,1.4958280782271343e-34,10,PFKFB3,50
0,15.530622763111008,0.277,0,0,11,RBP7,1
0,12.496693677652503,0.329,0,0,11,CD300E,2
0,12.445019985247107,0.284,0,0,11,HNMT,3
0,12.26162630219387,0.326,0,0,11,LILRA2,4
0,12.103574554099778,0.25,0,0,11,AC020656.1,5
0,11.132346440143213,0.725,0.001,0,11,FCN1,6
0,11.052437556576836,0.711,0,0,11,CSTA,7
0,10.668445744125853,0.574,0,0,11,FPR1,8
0,10.436803785159368,0.485,0,0,11,SMIM25,9
0,10.346865407994809,0.452,0.001,0,11,S100A12,10
0,10.27679977519362,0.376,0,0,11,TMEM176A,11
0,10.225690547673828,0.254,0,0,11,EPB41L3,12
0,10.204044975938633,0.353,0,0,11,PAPSS2,13
0,10.199488381699322,0.49,0,0,11,CSF3R,14
0,10.007293238658214,0.528,0.001,0,11,VCAN,15
0,9.99552457046563,0.51,0.001,0,11,TMEM176B,16
0,9.96688347546468,0.295,0,0,11,LILRA1,17
0,9.797133937077698,0.524,0.001,0,11,CD14,18
0,9.71751731230852,0.331,0,0,11,CD33,19
0,9.629762800189576,0.58,0.001,0,11,PILRA,20
0,9.574899180391451,0.549,0.001,0,11,LGALS2,21
0,9.534740224543604,0.281,0,0,11,ANPEP,22
0,9.409705155866426,0.499,0.001,0,11,TNFAIP2,23
0,9.383016704191649,0.25,0,0,11,EREG,24
0,9.360841034153111,0.393,0.001,0,11,PLBD1,25
0,9.30480445953611,0.326,0,0,11,TREM1,26
0,9.264326975476886,0.518,0.001,0,11,C5AR1,27
0,9.141586933409108,0.442,0.001,0,11,CSF1R,28
0,8.883004574009236,0.277,0,0,11,SLC8A1,29
0,8.798761921537444,0.329,0.001,0,11,PRAM1,30
0,8.74400811447672,0.274,0,0,11,APOBEC3A,31
0,8.650940525773969,0.622,0.002,0,11,CLEC7A,32
0,8.62738503398808,0.423,0.001,0,11,LILRB3,33
0,8.498536381840935,0.392,0.001,0,11,LRP1,34
0,8.462915269989185,0.691,0.002,0,11,CPVL,35
0,8.433075394411794,0.831,0.003,0,11,SERPINA1,36
0,8.382316114971296,0.397,0.001,0,11,FCGR2A,37
0,8.379128911259569,0.587,0.002,0,11,NCF2,38
0,8.301862502107443,0.572,0.002,0,11,MAFB,39
0,8.281119624593796,0.958,0.007,0,11,LYZ,40
0,8.279621966166484,0.389,0.002,0,11,CD36,41
0,8.191624586953697,0.636,0.003,0,11,IGSF6,42
0,8.049758653192708,0.605,0.003,0,11,LILRB2,43
0,8.02943788531752,0.251,0.001,0,11,CDC42EP2,44
0,8.00123102795295,0.412,0.001,0,11,CLEC4A,45
0,7.993786939184114,0.459,0.002,0,11,LILRA5,46
0,7.95969417969947,0.4,0.002,0,11,G0S2,47
0,7.889046460350746,0.729,0.006,0,11,S100A9,48
0,7.867425080933854,0.493,0.003,0,11,SLC7A7,49
0,7.82716626766086,0.593,0.003,0,11,CD302,50
0,9.553005836149143,0.432,0.001,0,12,FCER2,1
0,9.526385710342002,0.405,0.001,0,12,VPREB3,2
0,9.093087887411189,0.435,0.001,0,12,LINC00926,3
0,9.024620665414076,0.299,0.001,0,12,FCRL1,4
0,8.824515529892397,0.484,0.002,0,12,FCRLA,5
0,8.733407620165384,0.329,0.001,0,12,LINC02397,6
0,8.701712668786826,0.288,0.001,0,12,CD24,7
0,8.611358570344056,0.288,0.001,0,12,CD22,8
0,8.57611995377948,0.278,0.001,0,12,TCL1A,9
0,8.300916129692613,0.414,0.002,0,12,CD19,10
0,7.454811127049354,0.462,0.004,0,12,FAM129C,11
0,7.368793328166669,0.521,0.005,0,12,SPIB,12
0,7.276320204660095,0.732,0.008,0,12,BANK1,13
0,7.107795361549567,0.49,0.007,0,12,RUBCNL,14
0,7.055578764354524,0.263,0.003,0,12,ARHGAP24,15
0,6.99138758165437,0.306,0.005,0,12,HLA-DOB,16
0,6.742159602183179,0.972,0.014,0,12,CD79A,17
0,6.487770080991381,0.292,0.005,0,12,PKIG,18
0,6.058649891661236,0.429,0.008,0,12,TNFRSF13C,19
0,5.787701423077985,0.496,0.012,0,12,RALGPS2,20
0,5.6728205387303205,0.352,0.008,0,12,CXCR5,21
0,5.633123981033719,0.931,0.032,0,12,MS4A1,22
0,5.468442533030093,0.425,0.015,0,12,ADAM28,23
0,5.390489600792266,0.452,0.009,0,12,IGHM,24
0,5.184608560398761,0.371,0.015,0,12,CD40,25
0,5.112863624924881,0.408,0.016,0,12,GNG7,26
0,5.026425284629169,0.671,0.033,0,12,MEF2C,27
0,4.961465650014757,0.355,0.014,0,12,BLK,28
0,4.945819090505239,0.309,0.01,0,12,POU2AF1,29
0,4.922572753500891,0.422,0.019,0,12,TCF4,30
0,4.9106104442949965,0.254,0.015,0,12,BTK,31
0,4.752803688098264,0.545,0.03,0,12,HVCN1,32
0,4.625426104241838,0.376,0.02,0,12,AFF3,33
0,4.583573042846731,0.422,0.025,0,12,SWAP70,34
0,4.507602014271587,0.364,0.021,0,12,LY86,35
0,4.48000971006487,0.273,0.016,0,12,FCGR2B,36
0,4.4515912234145505,0.277,0.019,0,12,PHACTR1,37
0,4.065644607165066,0.476,0.044,0,12,CD79B,38
0,4.008992552106442,0.329,0.029,0,12,CD72,39
0,3.9085514024267214,0.333,0.027,0,12,BASP1,40
0,3.615212823059619,0.315,0.028,0,12,PLEKHG1,41
0,3.122970581674101,0.52,0.074,0,12,HLA-DMB,42
0,3.1180146695506044,0.387,0.031,0,12,IGKC,43
0,3.0098010807963114,0.332,0.023,0,12,JCHAIN,44
0,2.906992451756011,1,0.274,0,12,HLA-DRA,45
0,2.8341198263837737,0.927,0.2,0,12,HLA-DQB1,46
0,2.728069540877935,0.579,0.104,0,12,SELL,47
0,2.664370141198745,0.973,0.254,0,12,HLA-DQA1,48
0,2.5089371158780955,0.809,0.191,0,12,HLA-DMA,49
0,1.818714717532267,0.999,0.491,0,12,HLA-DRB1,50
0,3.863905849991024,0.628,0.061,0,13,CX3CR1,1
0,3.1838895774526437,0.86,0.119,0,13,FGFBP2,2
5.215121351073806e-282,2.82536224777946,0.916,0.166,9.869617156907179e-278,13,GNLY,3
9.138983497797147e-212,4.295309143683516,0.333,0.025,1.7295526269581103e-207,13,MYOM2,4
3.796595352930366e-192,2.728956132435299,0.737,0.149,7.185056705420717e-188,13,FCGR3A,5
5.609208392535286e-188,3.9844875381072793,0.368,0.035,1.0615426882873026e-183,13,IGFBP7,6
1.3014938633296223e-165,2.091491145819175,0.923,0.257,2.4630771363513104e-161,13,GZMB,7
6.550991027877945e-160,3.3149552472254236,0.411,0.05,1.239775052025901e-155,13,PRSS23,8
1.754988084914699e-142,2.541852727632323,0.695,0.176,3.3213149507010676e-138,13,SPON2,9
1.9439674285590976e-140,1.057030686528964,1,0.761,3.6789583585480924e-136,13,NKG7,10
1.01847910830813e-136,2.0087585989366064,0.86,0.29,1.9274717124731364e-132,13,TXNIP,11
5.357609069809589e-109,1.7996457427443495,0.807,0.291,1.013927516461465e-104,13,TYROBP,12
