"Atlas_Cluster","Module_T_Cell1","Module_CD8_T1","Module_CD4_T1","Module_Treg1","Module_NK1","Module_MAIT1","Module_GammaDelta_T1","Module_B_Cell1","Module_Plasma_Cell1","Module_Monocyte_Myeloid1","Module_Macrophage1","Module_Dendritic_Cell1","Module_pDC1"
"0",0.493570466283298,0.599321969045074,-0.305123286556148,-0.126882504593736,0.0928939794449759,-0.106438908104903,0.458510964985155,0.2621586662845,-0.0269113174858532,-0.17410678464098,-0.0357478751584131,-0.256960922153298,-0.0358402044371475
"1",0.050949642342786,-0.0196132786440904,-0.360320389899033,-0.115678054609301,1.14079159848257,-0.0703734882709852,0.123347410784412,0.0501387362582833,-0.0299714102499384,-0.00914483183160769,-0.036393962863946,-0.171714883534989,-0.0339926919546501
"10",0.495376349921213,0.474163084772452,0.186371539408887,0.12514031051714,-0.164765899155334,0.257955428980482,0.495106083736361,0.265494610014272,0.114995581939614,-0.158838942566988,-0.0336550043118726,-0.251861636861802,-0.0288199355653326
"11",0.51033214806193,0.107416550863081,0.368395266849252,0.664651470028234,-0.791207676167924,-0.14460224834393,0.400841987043506,0.183817455381601,-0.0215312975629859,-0.1708916892145,-0.0390103883787022,-0.296740780552175,-0.0373710565739844
"12",0.442719240207827,0.269550636691996,-0.304425391149854,-0.150916098744096,1.40042220210156,0.0264482070502956,0.396614795431607,0.0932858338698746,-0.0266616024705548,0.0626188543061089,-0.0324094401950077,-0.0580764367107396,-0.027571526919713
"13",-0.243792312167617,-0.33034697390211,-0.365682232271913,-0.157693093463757,1.12331026849895,0.202745703979506,0.0805163829800674,0.108132930729914,-0.0305631521471967,-0.120447578489689,-0.0402441241657428,0.172792647177181,-0.0293757733516712
"14",-0.40268016534059,-0.483680573186633,-0.451016234818521,-0.101103830869226,1.21141377906624,-0.0120666851362618,-0.0347015627792903,0.235158321495411,0.0933758275441351,-0.00292993416209651,-0.0483763740497268,-0.00427976411796545,-0.0252710275031689
"15",-1.0421217451262,-1.048158669879,-0.249088837525935,-0.238754196647047,-0.675832206544284,-0.218840651460689,-0.5481498159443,0.84860807115878,-0.0738391619695359,1.79841642963441,0.719835884215459,1.37827379394113,0.0663821399694841
"16",-0.911493806128571,-0.91088844147064,-0.194508538557742,-0.198489456600755,-0.681762297568306,-0.259528060168486,-0.453357172961623,0.821022915765205,-0.0553164042891366,2.16771516600982,0.71516791561969,1.4052203369919,-0.0143939918700643
"17",-1.02628611702908,-1.02836206225618,-0.140991980541546,-0.197931014343871,-0.803352212399075,-0.297330650324534,-0.54488836589656,1.39732805577335,-0.0640602330011952,0.638553602182946,1.08917524392003,2.11173925736213,0.0697926769038265
"18",-0.540407664526914,-0.546003243644639,-0.275286549937019,-0.111832117306718,-0.490503853200521,-0.178752417138747,-0.298038691452255,0.530600348310974,1.75762367570483,-0.0603155513886856,-0.0271443594284808,-0.165082867941586,0.0314953002536121
"19",-1.02502831052286,-1.01660077464067,0.407117250560792,-0.252142002807594,-0.899682486215929,-0.303321702465599,-0.554532075205268,1.18102092629548,0.695279550346518,-0.14039964580219,0.174190044163703,1.37611883062678,1.94325137154013
"2",0.379186129345076,0.0848570891758626,0.947729393309894,0.339195117523103,-0.732753190371635,-0.0299727880245672,0.356837884182305,-0.0410559513438964,-0.0282400728886816,-0.168074674458617,-0.0356637361239767,-0.366326398619139,-0.0419813905618405
"3",0.370025677788763,0.376341087526862,0.491920327856102,0.283721787572511,-0.430767013910735,0.889220144650518,0.45428337139254,-0.0503179772094742,-0.0268545963183521,-0.17677307446506,-0.032952059384046,-0.386403018996544,-0.0399449497389998
"4",0.916881602146704,0.967056018644768,-0.253277207001645,-0.149754965702377,0.337904990920506,-0.0883514432538554,0.697817564838884,0.412090781448331,-0.0232834446498516,-0.126518234862724,-0.0370499261925493,-0.176678886967609,-0.0414581854709892
"5",-0.435195822848062,-0.503504353522276,-0.457570725959316,-0.115204347677714,0.617837116265503,0.0954647609422448,-0.118190864329657,0.0584330182410239,-0.0283367817402369,-0.163503035114557,-0.038565915514613,0.026153248036808,-0.00524362908057315
"6",0.6597448240451,0.410811710031208,0.667620711700365,0.214310459701845,-0.463660930286763,0.367094032194501,0.551201508404946,0.0355123142024504,-0.0256187847458213,-0.151974617542036,-0.0362491438771624,-0.317637946090918,-0.0403024612921025
"7",0.437789166349164,0.567853354253944,-0.310817041582295,-0.083636900485702,-0.0718736041958057,-0.20837391358728,0.363258192168551,0.30833903975318,-0.0314076684873681,-0.164711029067878,-0.0435645976812584,-0.216586859229623,-0.0438711978695717
"8",0.464098385208671,0.634827069777597,-0.293133468648558,-0.09127748010888,0.0524164547133636,-0.127159320996182,0.45879832625905,0.29343691596567,-0.0153197966872625,-0.131998315930875,-0.0238462460017474,-0.193540863560715,-0.0215071284313033
"9",-0.755356801206265,-0.781647984978936,0.449601768408307,-0.181230379937789,-0.769549195566112,-0.282661325846321,-0.467244681838824,2.59729178692883,0.138222736397147,-0.121169028865057,-0.0357223163116859,0.458177185070743,0.155369953014404
