Phase,Original_Cells,Sketch_Cells,Sketch_Fraction,Sketch_Percent,Original_Fraction,Sketch_Cohort_Fraction
AC,12837,2413,0.1879722676637844,18.79722676637844,0.12043117682377665,0.12065
AR,17746,3313,0.1866899583004621,18.66899583004621,0.16648528970279194,0.16565
IA,32289,6020,0.1864412028864319,18.64412028864319,0.3029214199939958,0.301
IT,19501,3694,0.18942618327265268,18.94261832726527,0.18294993995797057,0.1847
NL,24219,4560,0.1882819274123622,18.82819274123622,0.22721217352146503,0.228
