"Cluster","Program","Program_Genes_Present","Top50_Genes","Overlap_Genes","Overlap_Count","Program_Genes_Count","Overlap_Fraction"
"0","Macrophage","LYZ, C1QA, C1QB, C1QC, APOE, TREM2, CD68, MSR1","TUBA4A, CD8A, DUSP2, NR4A2, CCL5, CD8B, CXCR4, RGS1, ZFP36, ZFP36L2, GZMK, SRSF7, YPEL5, SRGN, CREM, UBC, CRTAM, ZNF331, H3F3B, EIF1, UBE2S, TENT5C, SELENOK, CALM2, FAM177A1, RGCC, HLA-A, DUSP5, SARAF, HSPA8, BRD2, CD3E, FABP5, CCL4, OASL, LEPROTL1, FYN, CALM1, MYADM, SRRT, KPNA2, XCL1, PIK3R1, CD3D, LAG3, HIST1H4C, IDI1, DDX24, CCL4L2, BTG1","",0,8,0
"0","Dendritic_Cell","FCER1A, CST3, CLEC10A, CD1C, HLA-DRA, FCER1G","TUBA4A, CD8A, DUSP2, NR4A2, CCL5, CD8B, CXCR4, RGS1, ZFP36, ZFP36L2, GZMK, SRSF7, YPEL5, SRGN, CREM, UBC, CRTAM, ZNF331, H3F3B, EIF1, UBE2S, TENT5C, SELENOK, CALM2, FAM177A1, RGCC, HLA-A, DUSP5, SARAF, HSPA8, BRD2, CD3E, FABP5, CCL4, OASL, LEPROTL1, FYN, CALM1, MYADM, SRRT, KPNA2, XCL1, PIK3R1, CD3D, LAG3, HIST1H4C, IDI1, DDX24, CCL4L2, BTG1","",0,6,0
"0","pDC","CLEC4C, IRF7, TCF4, LILRA4, PTCRA","TUBA4A, CD8A, DUSP2, NR4A2, CCL5, CD8B, CXCR4, RGS1, ZFP36, ZFP36L2, GZMK, SRSF7, YPEL5, SRGN, CREM, UBC, CRTAM, ZNF331, H3F3B, EIF1, UBE2S, TENT5C, SELENOK, CALM2, FAM177A1, RGCC, HLA-A, DUSP5, SARAF, HSPA8, BRD2, CD3E, FABP5, CCL4, OASL, LEPROTL1, FYN, CALM1, MYADM, SRRT, KPNA2, XCL1, PIK3R1, CD3D, LAG3, HIST1H4C, IDI1, DDX24, CCL4L2, BTG1","",0,5,0
"1","T_Cell","CD3D, CD3E, CD3G, TRBC1, TRBC2","PRSS23, FGFBP2, GNLY, LAIR2, GZMB, CX3CR1, ADGRG1, SPON2, FCGR3A, C1orf21, PRF1, S1PR5, GZMH, KLRF1, KLRD1, NKG7, EFHD2, CD247, CST7, C12orf75, CTSW, TTC38, PLAC8, HOPX, LITAF, TYROBP, LGALS1, ENC1, DSTN, SELPLG, PXN, CYBA, HLA-C, B2M, SH2D1B, HSH2D, TGFBR3, ZEB2, SH2D2A, TFDP2, ITGB2, CLIC3, RAP1B, CD300A, SLA2, ARL4C, ADRB2, KLF3, IFITM2, TPST2","",0,5,0
"1","CD8_T","CD8A, CD8B, CD3D, CD3E, TRBC1, TRBC2","PRSS23, FGFBP2, GNLY, LAIR2, GZMB, CX3CR1, ADGRG1, SPON2, FCGR3A, C1orf21, PRF1, S1PR5, GZMH, KLRF1, KLRD1, NKG7, EFHD2, CD247, CST7, C12orf75, CTSW, TTC38, PLAC8, HOPX, LITAF, TYROBP, LGALS1, ENC1, DSTN, SELPLG, PXN, CYBA, HLA-C, B2M, SH2D1B, HSH2D, TGFBR3, ZEB2, SH2D2A, TFDP2, ITGB2, CLIC3, RAP1B, CD300A, SLA2, ARL4C, ADRB2, KLF3, IFITM2, TPST2","",0,6,0
"1","CD4_T","CD4, IL7R, LTB, CCR7, SELL","PRSS23, FGFBP2, GNLY, LAIR2, GZMB, CX3CR1, ADGRG1, SPON2, FCGR3A, C1orf21, PRF1, S1PR5, GZMH, KLRF1, KLRD1, NKG7, EFHD2, CD247, CST7, C12orf75, CTSW, TTC38, PLAC8, HOPX, LITAF, TYROBP, LGALS1, ENC1, DSTN, SELPLG, PXN, CYBA, HLA-C, B2M, SH2D1B, HSH2D, TGFBR3, ZEB2, SH2D2A, TFDP2, ITGB2, CLIC3, RAP1B, CD300A, SLA2, ARL4C, ADRB2, KLF3, IFITM2, TPST2","",0,5,0
"1","Treg","FOXP3, IL7R, CTLA4, IL2RA, TNFRSF18, TNFRSF4, CCR8","PRSS23, FGFBP2, GNLY, LAIR2, GZMB, CX3CR1, ADGRG1, SPON2, FCGR3A, C1orf21, PRF1, S1PR5, GZMH, KLRF1, KLRD1, NKG7, EFHD2, CD247, CST7, C12orf75, CTSW, TTC38, PLAC8, HOPX, LITAF, TYROBP, LGALS1, ENC1, DSTN, SELPLG, PXN, CYBA, HLA-C, B2M, SH2D1B, HSH2D, TGFBR3, ZEB2, SH2D2A, TFDP2, ITGB2, CLIC3, RAP1B, CD300A, SLA2, ARL4C, ADRB2, KLF3, IFITM2, TPST2","",0,7,0
"1","NK","NKG7, GNLY, FCGR3A, KLRD1, XCL1, XCL2","PRSS23, FGFBP2, GNLY, LAIR2, GZMB, CX3CR1, ADGRG1, SPON2, FCGR3A, C1orf21, PRF1, S1PR5, GZMH, KLRF1, KLRD1, NKG7, EFHD2, CD247, CST7, C12orf75, CTSW, TTC38, PLAC8, HOPX, LITAF, TYROBP, LGALS1, ENC1, DSTN, SELPLG, PXN, CYBA, HLA-C, B2M, SH2D1B, HSH2D, TGFBR3, ZEB2, SH2D2A, TFDP2, ITGB2, CLIC3, RAP1B, CD300A, SLA2, ARL4C, ADRB2, KLF3, IFITM2, TPST2","GNLY, FCGR3A, KLRD1, NKG7",4,6,0.666666666666667
"1","MAIT","TRAV1-2, SLC4A10, KLRB1, IL23R, CCL20, DPP4","PRSS23, FGFBP2, GNLY, LAIR2, GZMB, CX3CR1, ADGRG1, SPON2, FCGR3A, C1orf21, PRF1, S1PR5, GZMH, KLRF1, KLRD1, NKG7, EFHD2, CD247, CST7, C12orf75, CTSW, TTC38, PLAC8, HOPX, LITAF, TYROBP, LGALS1, ENC1, DSTN, SELPLG, PXN, CYBA, HLA-C, B2M, SH2D1B, HSH2D, TGFBR3, ZEB2, SH2D2A, TFDP2, ITGB2, CLIC3, RAP1B, CD300A, SLA2, ARL4C, ADRB2, KLF3, IFITM2, TPST2","",0,6,0
"1","GammaDelta_T","TRDC, TRGC1, TRGC2, CD3D, CD3E","PRSS23, FGFBP2, GNLY, LAIR2, GZMB, CX3CR1, ADGRG1, SPON2, FCGR3A, C1orf21, PRF1, S1PR5, GZMH, KLRF1, KLRD1, NKG7, EFHD2, CD247, CST7, C12orf75, CTSW, TTC38, PLAC8, HOPX, LITAF, TYROBP, LGALS1, ENC1, DSTN, SELPLG, PXN, CYBA, HLA-C, B2M, SH2D1B, HSH2D, TGFBR3, ZEB2, SH2D2A, TFDP2, ITGB2, CLIC3, RAP1B, CD300A, SLA2, ARL4C, ADRB2, KLF3, IFITM2, TPST2","",0,5,0
