"Phase","Cells","Mean_Agreement","Median_Agreement","Fraction_High","Fraction_Intermediate","Fraction_Low","Fraction_Low_Agreement"
"AC",12837,0.943208433953935,1,0.889693853704136,0,0.110306146295864,0.110306146295864
"AR",17746,0.943252939629588,1,0.890116082497464,0,0.109883917502536,0.109883917502536
"IA",32289,0.936728710499964,1,0.878224782433646,0,0.121775217566354,0.121775217566354
"IT",19501,0.928316496589918,1,0.85616122250141,0,0.14383877749859,0.14383877749859
"NL",24219,0.928852003248139,1,0.863206573351501,0,0.136793426648499,0.136793426648499
