scDblFinder.class,Cells,Min_Score,Q1_Score,Median_Score,Mean_Score,Q3_Score,Max_Score
singlet,105220,2.488944232936774e-7,4.3687827201210894e-5,1.5888024063315243e-4,0.0015113572239436259,5.550824134843424e-4,0.6289995356184228
doublet,1372,0.015923283994197845,0.09056159667670727,0.4312177896499634,0.48942259672470756,0.9184575825929642,0.9996007084846497
