GSM,Donor,Phase,Metric,N,Median,MAD,Lower_MAD_3,Upper_MAD_3
GSM5519491,P190902,IT,percent.mt,66,2.7813881517902503,0.48100430582877296,1.3383752343039315,4.224401069276569
GSM5519494,P190910,IT,percent.mt,2693,1.7076301362321535,0.33573907271119224,0.7004129180985768,2.7148473543657303
GSM5519495,P190808,IT,percent.mt,5168,1.6406447748030066,0.270397931443445,0.8294509804726717,2.4518385691333417
GSM5519496,P190801,IA,percent.mt,6069,2.020933763757602,0.3350377050931666,1.015820648478102,3.026046879037102
GSM5519497,P190911,IA,percent.mt,9082,1.7678377851018319,0.38279928007424047,0.6194399448791106,2.9162356253245534
GSM5519499,P191028,IA,percent.mt,8062,2.052846949386961,0.5996581690433392,0.2538724422569434,3.851821456516979
GSM5519502,P191112,IA,percent.mt,6070,1.6164953797712938,0.3658332936149079,0.5189954989265699,2.7139952606160174
GSM5519504,P191008,AR,percent.mt,10164,1.944133589783998,0.43722159669054894,0.6324687997123513,3.2557983798556447
GSM5519506,P191126,AC,percent.mt,3293,1.7378756208320796,0.29552035346267813,0.8513145604440452,2.624436681220114
GSM5519508,P191127,AC,percent.mt,6625,1.5317888096629084,0.30897462517571955,0.6048649341357497,2.458712685190067
GSM5519510,P191210,AC,percent.mt,2919,2.1025440694095465,0.5013910853059403,0.5983708134917256,3.6067173253273674
GSM5519512,P191217,AR,percent.mt,4122,1.662720284640709,0.32528105389433454,0.6868771229577053,2.6385634463237126
