"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.50694063269873,0.425,0.036,0,"4","GEM"
0,3.11451796021023,0.384,0.033,0,"4","LAYN"
0,3.02857919805588,0.575,0.082,0,"4","SNX9"
0,2.83921438824686,0.314,0.044,0,"4","NBL1"
0,2.60946779768943,0.839,0.228,0,"4","DUSP4"
0,2.5452703610317,0.724,0.176,0,"4","TNFRSF9"
0,2.49403062189036,0.381,0.058,0,"4","AKAP5"
0,2.16000441901908,0.508,0.116,0,"4","VCAM1"
0,1.98908501783139,0.337,0.089,0,"4","CD200R1"
0,1.9725229492165,0.34,0.075,0,"4","ASB2"
0,1.96563252650208,0.291,0.076,0,"4","ID3"
0,1.96228972453056,0.427,0.081,0,"4","CTLA4"
0,1.88319190172271,0.377,0.105,0,"4","PLEKHO1"
0,1.8752882191859,0.341,0.078,0,"4","NAB1"
8.11014336993425e-283,1.83864598310222,0.202,0.047,1.98309225681632e-278,"4","LDLRAD4"
0,1.78013840429261,0.382,0.102,0,"4","GFOD1"
0,1.68065144073474,0.749,0.266,0,"4","PDCD1"
0,1.6304597683954,0.458,0.154,0,"4","LIMS1"
5.79234675429469e-254,1.60154363856717,0.232,0.064,1.41634462836014e-249,"4","SNAP47"
0,1.59801288229104,0.373,0.112,0,"4","GTF3C1"
0,1.94294976334977,0.307,0.078,0,"0","GPR183"
1.19679071262935e-304,1.06059260676678,0.394,0.2,2.92639265052129e-300,"0","LMNA"
0,0.987470776782772,0.715,0.496,0,"0","ANXA1"
0,0.913337990848321,0.998,0.934,0,"0","FTH1"
0,0.855520870865213,0.992,0.711,0,"0","CXCR4"
0,0.829676475969879,0.703,0.441,0,"0","RGCC"
4.30719420253957e-222,0.816607063453104,0.282,0.137,1.05319512640497e-217,"0","IL7R"
9.30249260960923e-243,0.805359328928767,0.444,0.256,2.27464549290165e-238,"0","MT1X"
1.15232871820222e-139,0.764773953751861,0.224,0.116,2.81767418174807e-135,"0","TUBB2A"
0,0.757885759723679,0.916,0.622,0,"0","SELENOK"
2.21115027785636e-252,0.727941152654736,0.469,0.27,5.40670465941437e-248,"0","PDCL3"
3.37740261588479e-135,0.723296345172702,0.311,0.187,8.25842487636148e-131,"0","YBX3"
1.22596989478851e-147,0.72121826481456,0.245,0.129,2.99774158673686e-143,"0","PLK3"
1.32957647784143e-264,0.717641239884431,0.474,0.268,3.25108040361786e-260,"0","CD5"
3.70339389273489e-86,0.70563211187567,0.211,0.127,9.05553874651536e-82,"0","MT1E"
3.00362552296621e-190,0.694212107135295,0.313,0.165,7.34446512875697e-186,"0","SC5D"
4.53929400122473e-260,0.684620840391049,0.848,0.68,1.10994816917947e-255,"0","VIM"
1.43991315703665e-180,0.66523250393031,0.381,0.223,3.52087565158602e-176,"0","CDKN1A"
0,0.656554798061982,0.86,0.563,0,"0","FAM177A1"
0,0.649434850754766,0.868,0.621,0,"0","LDHA"
8.24013617205069e-36,1.28834446188616,0.201,0.156,2.01487809678984e-31,"2","CD38"
1.11247016983063e-28,1.10970064334688,0.253,0.224,2.72021205926987e-24,"2","PDE4D"
2.16507472327743e-17,1.09467424664324,0.259,0.254,5.29404071335797e-13,"2","ATP8A1"
4.80592068101272e-46,0.928435522896106,0.341,0.299,1.17514372492123e-41,"2","PDCD1"
2.69329155149909e-16,0.870737652728122,0.36,0.388,6.58563650172558e-12,"2","ISG15"
9.04288465194226e-37,0.81664876483609,0.398,0.399,2.21116615509292e-32,"2","SRRT"
2.4547129897928e-103,0.800487276819705,0.571,0.553,6.00226420264134e-99,"2","TENT5C"
1.21062273367742e-06,0.783170054960254,0.272,0.297,0.0296021470838802,"2","ITK"
3.64010091589553e-08,0.681754727539324,0.227,0.219,0.000890077475954774,"2","TNFRSF9"
6.10870937237339e-08,0.679964750464134,0.358,0.396,0.00149370161573274,"2","STAT1"
1.98683058827452e-101,0.616159979643086,0.652,0.668,4.85819815444886e-97,"2","LEPROTL1"
2.36536958736872e-07,0.607071840997747,0.156,0.213,0.00578380171503399,"2","SURF2"
0.00419238612050098,0.597482820520014,0.363,0.438,1,"2","ITGA4"
1.94407744864322e-22,0.594021106918837,0.505,0.596,4.75365817742241e-18,"2","MYH9"
0.00832930304916453,0.585491412502589,0.227,0.293,1,"2","NUP98"
1.25377744330196e-10,0.576911251802847,0.416,0.48,3.06573660436196e-06,"2","GSPT1"
0.000288473005687061,0.571194405682626,0.211,0.278,1,"2","DYNLT1"
6.42559452740987e-16,0.563742740889714,0.471,0.541,1.57118637384226e-11,"2","ISG20"
7.80877399522552e-12,0.54825209468063,0.468,0.567,1.90940141731254e-07,"2","ETS1"
1.64753935381882e-50,0.532534697671352,0.571,0.556,4.02856322795777e-46,"2","RGS1"
2.13939427319857e-142,1.79410722846872,0.206,0.077,5.23124687682515e-138,"5","HIST1H1D"
3.01739865005325e-181,1.71061415550565,0.228,0.077,7.37814317911021e-177,"5","UTY"
1.13373864763319e-115,1.60010082211324,0.214,0.09,2.77221774119268e-111,"5","PDE3B"
4.39137085127059e-225,1.58577750409438,0.404,0.184,1.07377800055268e-220,"5","P2RY8"
1.19415198113701e-127,1.55826159496135,0.218,0.088,2.91994042427621e-123,"5","RELL1"
2.930950732759e-218,1.5405427326499,0.494,0.268,7.16676073174229e-214,"5","SYNE2"
2.71177566362471e-162,1.49877491636248,0.356,0.175,6.63083385269515e-158,"5","AUTS2"
1.23626215041736e-134,1.48617109136953,0.292,0.138,3.02290821020053e-130,"5","TGFBR3"
4.01987701256062e-129,1.47675462083173,0.237,0.1,9.82940327111322e-125,"5","MTMR6"
1.13665098423312e-110,1.47671019784203,0.223,0.098,2.77933898664684e-106,"5","HSPA13"
2.07741273726338e-221,1.45147505808414,0.447,0.216,5.07968962515641e-217,"5","GPCPD1"
8.85875465025827e-304,1.44328896053841,0.654,0.386,2.16614268708115e-299,"5","STAT4"
8.75107762222838e-127,1.43762171278651,0.24,0.102,2.13981350018728e-122,"5","SPTBN1"
0,1.42820349053782,0.825,0.516,0,"5","CEMIP2"
1.11365964555337e-77,1.41859030693098,0.217,0.111,2.7231205653071e-73,"5","PBX4"
5.28748169505212e-143,1.41025281391457,0.35,0.179,1.29289502407414e-138,"5","GOLGB1"
2.66159773496884e-283,1.40005310870991,0.551,0.281,6.50813878154581e-279,"5","B4GALT1"
1.16915057558371e-89,1.39934559920111,0.203,0.093,2.8588069874173e-85,"5","ITPR1"
0,1.39504788469905,0.826,0.544,0,"5","SYTL3"
6.24417228383076e-298,1.36565745843788,0.698,0.428,1.5268250068423e-293,"5","RNF19A"
0,3.2119069831244,0.275,0.034,0,"6","KIR2DL3"
0,3.0833921260534,0.405,0.059,0,"6","KLRF1"
0,3.07913142717374,0.217,0.034,0,"6","KRT86"
5.55215378304292e-294,2.91209263771782,0.204,0.034,1.35761264302966e-289,"6","KIR2DL4"
1.81002172013765e-277,2.50852871775594,0.251,0.053,4.42586511008059e-273,"6","KIR3DL2"
0,2.49238550350183,0.527,0.109,0,"6","TYROBP"
0,2.20663360364913,0.303,0.052,0,"6","TRDC"
2.09389507181613e-265,2.12880444542564,0.33,0.091,5.11999222960481e-261,"6","TRDV1"
9.73312856238998e-226,2.09554309258783,0.266,0.068,2.3799445960756e-221,"6","LYN"
2.71281844290813e-228,2.08946202866563,0.349,0.112,6.63338365659895e-224,"6","TRGV9"
8.70543667972276e-321,2.0434693575239,0.364,0.092,2.12865337692581e-316,"6","FCGR3A"
2.32259046421614e-293,1.88901470999017,0.408,0.119,5.67919820310132e-289,"6","S1PR5"
8.75944374082751e-136,1.73118817557131,0.438,0.219,2.14185918350714e-131,"6","AREG"
2.46143534586756e-174,1.71513360846596,0.285,0.09,6.01870170771537e-170,"6","PLAC8"
5.49165196901268e-270,1.6509271291099,0.411,0.126,1.34281873946298e-265,"6","KLRC3"
