"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","CD8_State"
1.21089662077321e-123,1.26225433045304,0.278,0.125,2.2916218548133e-119,"6","SUCO","CD8_Memory_P2RY8"
3.90696854016035e-139,1.18016963820481,0.355,0.173,7.39393796225346e-135,"6","GOLGB1","CD8_Memory_P2RY8"
3.05304551230409e-111,1.16068662872245,0.28,0.13,5.77788863203549e-107,"6","SEL1L","CD8_Memory_P2RY8"
2.41922009744644e-136,1.1499298936278,0.345,0.166,4.57837403441739e-132,"6","AUTS2","CD8_Memory_P2RY8"
1.43581825842806e-177,1.14750269966797,0.432,0.21,2.7172860540751e-173,"6","GPCPD1","CD8_Memory_P2RY8"
7.04444483791508e-101,1.12247640767691,0.28,0.137,1.33316118557543e-96,"6","TGFBR3","CD8_Memory_P2RY8"
1.09471490969424e-157,1.1094728054996,0.414,0.207,2.07174796659634e-153,"6","CAMK4","CD8_Memory_P2RY8"
8.3915707805468e-90,1.10782933403722,0.25,0.121,1.58810477021848e-85,"6","CYP51A1","CD8_Memory_P2RY8"
4.92263272362429e-100,1.10018342710969,0.282,0.138,9.31608242945897e-96,"6","CYP20A1","CD8_Memory_P2RY8"
2.91443887330785e-232,1.09989307586917,0.546,0.274,5.51557556773511e-228,"6","B4GALT1","CD8_Memory_P2RY8"
1.36407321867808e-98,1.09878529145543,0.26,0.122,2.58150856634826e-94,"6","SPAG9","CD8_Memory_P2RY8"
4.20186021381992e-174,1.09609127170312,0.45,0.224,7.9520204546542e-170,"6","VPS13C","CD8_Memory_P2RY8"
8.96319020198137e-98,1.09514245261518,0.256,0.119,1.69628374572497e-93,"6","KAT6A","CD8_Memory_P2RY8"
7.11819163756202e-139,1.09058356668153,0.374,0.186,1.34711776740861e-134,"6","DOCK10","CD8_Memory_P2RY8"
0,2.16268832452838,0.465,0.126,0,"1","SIT1","CD8_Naive_Memory"
0,1.83388132505371,0.408,0.138,0,"1","GIMAP1","CD8_Naive_Memory"
0,1.80148832057111,0.612,0.197,0,"1","TXNIP","CD8_Naive_Memory"
0,1.78848337439979,0.664,0.244,0,"1","GIMAP4","CD8_Naive_Memory"
0,1.78024392840487,0.474,0.166,0,"1","RCSD1","CD8_Naive_Memory"
0,1.67331261283157,0.548,0.212,0,"1","LINC00861","CD8_Naive_Memory"
0,1.53813480051209,0.75,0.332,0,"1","GIMAP7","CD8_Naive_Memory"
0,1.52591150323374,0.37,0.152,0,"1","PYCARD","CD8_Naive_Memory"
0,1.51545941963145,0.521,0.218,0,"1","TRAF3IP3","CD8_Naive_Memory"
0,1.4268853901801,0.586,0.266,0,"1","CD27","CD8_Naive_Memory"
4.57070010280654e-319,1.41367048717556,0.351,0.165,8.65004994456138e-315,"1","PRMT9","CD8_Naive_Memory"
0,1.37710132072659,0.438,0.203,0,"1","DENND2D","CD8_Naive_Memory"
0,1.31791936010261,0.557,0.224,0,"1","HSPA1B","CD8_Naive_Memory"
5.03777610377589e-295,1.31073372977991,0.341,0.16,9.53399127639586e-291,"1","AC116366.3","CD8_Naive_Memory"
1.20259761897315e-293,1.28404585074646,0.362,0.179,2.27591599390669e-289,"1","PTPN6","CD8_Naive_Memory"
7.67443867919582e-35,0.933700266762091,0.265,0.241,1.45238752003781e-30,"2","ATP8A1","CD8_PD1_Dysfunctional"
1.25671759222824e-53,0.864134748827927,0.316,0.285,2.37833804329194e-49,"2","PDCD1","CD8_PD1_Dysfunctional"
5.08652030774252e-73,0.792957301755371,0.385,0.373,9.62623968240271e-69,"2","SRRT","CD8_PD1_Dysfunctional"
0,0.764415605060436,0.877,0.711,0,"2","CREM","CD8_PD1_Dysfunctional"
1.88127691042426e-241,0.742465788681916,0.56,0.533,3.56031655297791e-237,"2","TENT5C","CD8_PD1_Dysfunctional"
0,0.6983119644613,0.909,0.735,0,"2","CXCR4","CD8_PD1_Dysfunctional"
1.61413937299452e-29,0.672083294726875,0.35,0.373,3.05475876339212e-25,"2","ISG15","CD8_PD1_Dysfunctional"
1.48891958082409e-186,0.660755453969484,0.555,0.536,2.81778030670959e-182,"2","RGS1","CD8_PD1_Dysfunctional"
2.14449512933424e-308,0.623467130160356,0.637,0.645,4.05845703226505e-304,"2","LEPROTL1","CD8_PD1_Dysfunctional"
0,0.620440827552175,0.811,0.731,0,"2","CD8A","CD8_PD1_Dysfunctional"
7.25284958680251e-09,0.615615256860362,0.266,0.288,0.000137260178430237,"2","ITK","CD8_PD1_Dysfunctional"
1.4177560566317e-17,0.599805157702989,0.272,0.267,2.68310333717549e-13,"2","DUSP4","CD8_PD1_Dysfunctional"
0,0.579969951004892,0.943,0.843,0,"2","DUSP2","CD8_PD1_Dysfunctional"
0,0.565635017890243,0.926,0.896,0,"2","SARAF","CD8_PD1_Dysfunctional"
1.15446934865015e-06,0.560317482583083,0.286,0.33,0.021848332423204,"2","NAA50","CD8_PD1_Dysfunctional"
