"feature","mean","variance"
"AC097359.3",-0.00626528315233396,0.00452789512117061
"GEM",-3.49490948740782e-16,1
"CSF2",-0.0231430785499775,0.348744153399481
"AHSP",-0.0115488954611859,0.0181331724787384
"TRBC1",-5.91968963817987e-15,0.999999999999999
"CLEC17A",-0.0101637641200037,0.0135955015526813
"KRT23",-0.00750488128284044,0.0067936791720948
"LTB",-1.65587119658901e-15,1
"FAM114A1",-0.0062480670728625,0.00452787954042535
"AC022087.1",-0.00859326906630963,0.00906041416613125
"GPR183",-5.63879535611807e-16,0.999999999999997
"AL138831.2",-0.00945182026044707,0.0113277169669629
"TRAV35",-0.00196231385356192,0.958718195261536
"NKD2",-0.0075221729840663,0.00679370264934979
"FOXD4L1",-0.0108965209918519,0.0158640994452247
"AC005730.2",-0.00754477700951429,0.00679373333930447
"CR1",-0.0148215215075801,0.0340273164018413
"TRAV4",-2.17059407595439e-16,1
"STRC",-0.00627202823896077,0.00452790122555707
"TRBC2",-3.50951381250269e-15,1
"AC125494.2",-0.00619809450498829,0.00452783431484207
"C9orf153",-0.00620204156386874,0.00452783788695448
"AC105411.1",-0.00945195930280545,0.0113277172816719
"AL391335.1",-0.00939114095253154,0.011327579625587
"FAM129C",-0.0184152223426027,0.0635819452405362
"AL449106.1",-0.00624017377554842,0.0045278723969116
"HIST1H4C",-2.22985432274787e-15,0.999999999999998
"TRAV8-2",9.65681169020286e-17,1
"AC092794.1",-0.00947108418792396,0.0113277605690566
"CDCP1",-0.00627018862762819,0.00452789956068575
"AMPD1",-0.00747174593881201,0.00679363418375323
"SPIB",-0.0175477414631218,0.0544844420526403
"HSP90AA1",-3.49153470719755e-14,1
"HSPA5",-8.56646685753535e-15,1
"CD8B",-1.67694328808335e-15,1
"AC083829.2",-0.00755291190500093,0.00679374438423794
"TRAV2",-0.000563703567696021,0.988287223855285
"CMC1",-2.93104877806992e-15,1
"STARD8",-0.00754173579380522,0.00679372921017873
"HMGA2",-0.00627111886437842,0.00452790040256163
"PAX5",-0.00933289048350531,0.0113274477824216
"COTL1",-3.02458586487352e-15,0.999999999999999
"ITM2A",2.64762047954073e-16,0.999999999999998
"HSP90AB1",-1.7145172165857e-14,0.999999999999997
"TRAV16",-0.000107390977011672,0.997803792882975
"IDO1",-0.0140143891409424,0.0294842538901014
"NRP2",-0.00752209629628435,0.00679370254522932
"IL21",-0.0240971156908939,0.24825119321702
"NFKBIA",-4.35901914346505e-15,1
"LGALS1",6.65247724816712e-16,1
"DUSP26",-0.00622091475352065,0.00452785496732591
"CASC15",-0.011499379833302,0.0181329931112479
"AC091152.2",-0.00749042178653365,0.00679365954020671
"TRAV41",-0.00146027951831974,0.969479169121507
"IGHV3-73",-0.0151515207793892,0.0362990171585863
"GATA2",-0.0158059605213739,0.0408435789657646
"TRGV8",3.41347957735143e-16,1
"KLRC1",1.86244562470524e-16,1
"ALOX5AP",3.36965244314e-15,1
"LRG1",-0.0114084358530054,0.0181326636742644
"TRDC",2.58376803388538e-16,1
"VNN3",-0.00623855263199236,0.00452787092976102
"SYTL3",8.83717188950384e-15,1
"GADD45B",-3.5083279141324e-15,0.999999999999997
"CEMIP2",-6.39288269862827e-15,1
"AC005899.5",-0.00621310018041089,0.00452784789507752
"AL359851.1",-0.00605851263755834,0.00452770799330516
"NPTX2",-0.0159851669964275,0.0431151846891545
"RND2",-0.0062593067979798,0.00452788971249977
"IGHV3-11",-0.0183107800325408,0.0635806195596821
