"CD8_Cluster","Program_Naive_Memory","Program_Cytotoxic","Program_Activation","Program_Dysfunction_Associated","Program_Immediate_Early_Response","Program_NK_Like","Program_Nonconventional_T","Program_Tissue_Resident_Associated","Program_Proliferation","Cells"
"0",0.0159123850052099,0.711567272462315,0.134453835416491,0.192374452359026,0.447455114659143,0.0521411760401073,-0.0777218030456746,0.00933188753727467,0.0193770371835357,8765
"1",-0.0553398666496241,1.06228561195551,0.197977668341218,-0.176590147558557,0.138140149310104,0.258051135362642,-0.0257004575159839,-0.0541142451919634,-0.0270681317465292,6100
"2",-0.0989622392501703,0.579073694921611,0.236434605760822,0.329683967991561,0.429915101899946,0.0905777316103908,-0.0597642719458647,0.0385669016003529,0.0100284293346322,5632
"3",-0.0161812316450817,0.609053057434962,0.225619565631604,0.0129437414567521,1.14012177359566,0.197817404999018,-0.0256029546258907,0.191240445795543,-0.00523761395673614,3545
"4",-0.210209094356275,0.371175376206863,0.373683477950994,0.596786736713005,0.556452543600535,0.0341407740715242,-0.102984090832109,0.0231556112757166,0.0405547362843225,3362
"5",-0.0465299351352508,0.628933969413118,0.281260249547431,0.266807698017586,0.44931084916115,0.0408683200835172,-0.0894503319742736,0.181956627274459,-0.0383229997467085,3106
"6",-0.197452989256222,0.719146926704126,0.0896259118758919,0.11501570187933,0.352852883865698,0.583742619273925,0.214550539462536,-0.0839794465853757,0.0341514689360728,1942
"7",-0.242848618931559,0.964490747232194,0.108851057039064,0.108846180311768,0.197277125631826,0.244590137655496,0.272477903514435,0.0504122213150789,-0.0203057493338496,1703
"8",-0.0238977000641278,0.824570874671965,0.0390177628069472,0.00611416112661787,0.601103525767712,0.462571541905953,0.0411785735742334,0.15128958990833,-0.00709597258412497,1530
"9",-0.263915566849976,0.871374105989627,0.239221197667571,0.0720085237766605,0.665641680836268,0.386758407859881,0.030275380745889,0.0397461770593835,0.0220202674384015,1098
"10",-0.0203798829870208,1.16474003213367,0.00016426576606195,-0.313720148276965,0.341387964805917,0.792459842778765,0.207059923702178,0.133350063206,-0.0485466829533048,995
"11",0.363132521926154,0.8380248296148,-0.011582725812648,-0.122365551955452,0.516387081969476,0.348645802048957,0.478700073544759,-0.00660791881676593,-0.0268659508976561,958
"12",-0.224522866089612,0.868750165636357,0.396952192662059,0.541163868900458,0.304824590910168,0.0867030609368877,-0.0924722656497377,0.284907013515479,-0.029326504892739,906
"13",-0.111508628714514,1.16304592196099,0.0980549527681225,-0.3156729985481,0.445050774852884,0.521168985141251,0.170799735046413,-0.0675101475603045,-0.0480379814509642,778
"14",-0.153804504814211,0.810829993863053,0.131818273492767,0.0509817737338623,0.400619367810518,0.514341546792243,0.0290385368334759,-0.0604599996398899,-7.52587593081429e-05,544
"15",0.247688577803778,1.06397956066204,-0.0186895440217287,-0.380472366601997,0.336114649799767,0.503635855521157,0.61925159835874,-0.0374543392929518,-0.057372033461001,317
