"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","CD8_State"
6.55275647522092e-184,0.459259307035727,0.557,0.36,1.24010916293556e-179,"0","JUND","CD8_Memory_GPR183"
4.2650391430234e-212,0.459184298809625,0.662,0.437,8.07158657817178e-208,"0","ATP1B3","CD8_Memory_GPR183"
5.78743852688815e-124,0.458810185150931,0.39,0.252,1.09527274121358e-119,"0","INSIG1","CD8_Memory_GPR183"
1.42711130187381e-188,0.455384553396158,0.59,0.383,2.70080813879619e-184,"0","SYAP1","CD8_Memory_GPR183"
8.20918663548281e-199,0.454817898603587,0.674,0.497,1.55358857076512e-194,"0","ANXA1","CD8_Memory_GPR183"
1.72380237410646e-77,0.44981940934553,0.253,0.165,3.26229599299648e-73,"0","MORF4L2","CD8_Memory_GPR183"
7.06755075799937e-160,0.447721268951,0.509,0.333,1.33753398095138e-155,"0","RSL24D1","CD8_Memory_GPR183"
2.17348631407658e-134,0.444862688051634,0.434,0.284,4.11332284938992e-130,"0","UBE2A","CD8_Memory_GPR183"
9.27186700454719e-170,0.440791811559614,0.545,0.36,1.75470083061056e-165,"0","MAGOH","CD8_Memory_GPR183"
1.38272407967781e-86,0.440526289268007,0.266,0.17,2.61680532079025e-82,"0","MCUB","CD8_Memory_GPR183"
6.5261492789334e-117,0.440041499272132,0.379,0.247,1.23507375103815e-112,"0","ETF1","CD8_Memory_GPR183"
1.54361439737058e-245,0.438337451027754,0.854,0.604,2.92129024702383e-241,"0","LDHA","CD8_Memory_GPR183"
2.32023522166529e-93,0.43778961328638,0.286,0.182,4.39104515700156e-89,"0","HNRNPLL","CD8_Memory_GPR183"
1.29225430086028e-92,0.430938123801967,0.349,0.236,2.44559126437809e-88,"0","CHMP1B","CD8_Memory_GPR183"
6.91454886448822e-148,0.427429045143133,0.497,0.328,1.3085783726044e-143,"0","PET100","CD8_Memory_GPR183"
3.60971804890348e-97,0.427422772364621,0.328,0.215,6.83139140754984e-93,"0","PITHD1","CD8_Memory_GPR183"
7.39693761405516e-89,0.425068793855959,0.276,0.175,1.39987044345994e-84,"0","BCL11B","CD8_Memory_GPR183"
6.93578091183903e-150,0.424502588788404,0.5,0.329,1.31259653756554e-145,"0","NSMCE3","CD8_Memory_GPR183"
5.07028032298978e-100,0.423033590239107,0.331,0.215,9.59550551125815e-96,"0","NDUFA5","CD8_Memory_GPR183"
4.96370169764479e-117,0.419444700661929,0.429,0.29,9.39380546279276e-113,"0","PPP2CA","CD8_Memory_GPR183"
4.77911839356202e-234,0.418287688639992,0.855,0.612,9.04448155981613e-230,"0","TUBA4A","CD8_Memory_GPR183"
1.43966904121545e-95,0.417540232889839,0.344,0.228,2.72457366050025e-91,"0","DNAJB9","CD8_Memory_GPR183"
1.26491065033671e-251,0.416321600819683,0.846,0.588,2.39384340576223e-247,"0","LEPROTL1","CD8_Memory_GPR183"
1.43071292533158e-74,0.414332062607585,0.275,0.184,2.70762421119002e-70,"0","EIF3J","CD8_Memory_GPR183"
1.25838732461856e-88,0.408785383956013,0.324,0.217,2.38149801184063e-84,"0","NR1H2","CD8_Memory_GPR183"
1.02863219094851e-158,0.408470277702827,0.583,0.383,1.94668642137005e-154,"0","PDE4B","CD8_Memory_GPR183"
2.22355050006534e-100,0.406527646704932,0.353,0.234,4.20806932137366e-96,"0","EMC7","CD8_Memory_GPR183"
5.72987844543741e-89,0.406219998563755,0.332,0.223,1.08437949579903e-84,"0","SBDS","CD8_Memory_GPR183"
3.57793298036831e-90,0.405194654614375,0.3,0.195,6.77123816534702e-86,"0","NDUFC1","CD8_Memory_GPR183"
4.85831343066747e-133,0.405017072684511,0.516,0.353,9.19435816753819e-129,"0","EIF4A3","CD8_Memory_GPR183"
2.70389420462942e-130,0.402823991091314,0.507,0.344,5.11711978226118e-126,"0","RUNX3","CD8_Memory_GPR183"
7.98567733167909e-96,0.401135403467746,0.34,0.224,1.51128943502027e-91,"0","NDUFB1","CD8_Memory_GPR183"
3.61396896210296e-107,0.40058364718976,0.412,0.277,6.83943626077984e-103,"0","FABP5","CD8_Memory_GPR183"
1.05144540033387e-88,0.3998808518563,0.339,0.229,1.98986042013186e-84,"0","WBP11","CD8_Memory_GPR183"
2.32142795070281e-147,0.399407036984404,0.574,0.393,4.39330239670507e-143,"0","RHOH","CD8_Memory_GPR183"
2.01486407402537e-89,0.398588087022729,0.345,0.231,3.81313026009302e-85,"0","PIM3","CD8_Memory_GPR183"
1.46646619106862e-78,0.397624604769366,0.302,0.203,2.77528726659737e-74,"0","PLIN2","CD8_Memory_GPR183"
9.56769053185612e-80,0.397277921655177,0.263,0.171,1.81068543315377e-75,"0","SURF2","CD8_Memory_GPR183"
1.84719215923716e-91,0.397270342942737,0.334,0.221,3.49581116135632e-87,"0","TRAT1","CD8_Memory_GPR183"
5.02703929125687e-78,0.395951023536855,0.296,0.199,9.51367185870362e-74,"0","PNPLA8","CD8_Memory_GPR183"
1.25198408489185e-83,0.395823444981697,0.272,0.174,2.36937988065783e-79,"0","EVI2A","CD8_Memory_GPR183"
1.35061510300559e-85,0.394721719971323,0.322,0.215,2.55603908243808e-81,"0","HBP1","CD8_Memory_GPR183"
8.3580700291821e-102,0.393976164146671,0.38,0.254,1.58176475302271e-97,"0","LAPTM4A","CD8_Memory_GPR183"
3.48773577387878e-159,0.393896686633888,0.611,0.414,6.6005399520656e-155,"0","SNRPG","CD8_Memory_GPR183"
1.94984839643712e-108,0.392126599768522,0.44,0.303,3.69008809025726e-104,"0","ODC1","CD8_Memory_GPR183"
7.3207019680141e-135,0.391825150325095,0.518,0.349,1.38544284744667e-130,"0","STRAP","CD8_Memory_GPR183"
1.44700692038435e-101,0.387390963626396,0.395,0.267,2.73846059682738e-97,"0","POLR2K","CD8_Memory_GPR183"
1.31473910577376e-107,0.38687997685016,0.42,0.284,2.48814375767684e-103,"0","SLC3A2","CD8_Memory_GPR183"
1.50459787348821e-121,0.386512740923393,0.452,0.303,2.84745147557643e-117,"0","RNF7","CD8_Memory_GPR183"
5.50552688911299e-67,0.386184130617301,0.262,0.176,1.04192096376463e-62,"0","STMN1","CD8_Memory_GPR183"
6.98622392328194e-94,0.385991658420791,0.34,0.225,1.32214287748111e-89,"0","RPP21","CD8_Memory_GPR183"
6.91634541215027e-143,0.385771570757951,0.572,0.39,1.30891836924944e-138,"0","PAIP2","CD8_Memory_GPR183"
3.4077000396451e-106,0.383582577166844,0.41,0.275,6.44907232502834e-102,"0","SLBP","CD8_Memory_GPR183"
8.64724785388075e-119,0.383515750420982,0.474,0.323,1.63649165634693e-114,"0","EIF1AX","CD8_Memory_GPR183"
1.08208020000101e-86,0.38214955991253,0.344,0.233,2.04783677850192e-82,"0","VDAC1","CD8_Memory_GPR183"
3.9202380168512e-128,0.380278494540916,0.492,0.328,7.41905044689089e-124,"0","ATP5ME","CD8_Memory_GPR183"
7.39595045742229e-161,0.379804444368665,0.68,0.459,1.39968362406717e-156,"0","DNAJB6","CD8_Memory_GPR183"
4.2761230293932e-65,0.37977544976941,0.251,0.169,8.09256283312663e-61,"0","NDEL1","CD8_Memory_GPR183"
4.73303412958559e-133,0.376886450251775,0.535,0.363,8.95726709024073e-129,"0","HERPUD1","CD8_Memory_GPR183"
4.78134802736812e-67,0.376391237783471,0.253,0.169,9.04870114179418e-63,"0","RILPL2","CD8_Memory_GPR183"
5.02113151498283e-115,0.375871626949731,0.44,0.292,9.502491392105e-111,"0","NAA50","CD8_Memory_GPR183"
8.92270728318088e-94,0.37418764574633,0.399,0.276,1.68862235334198e-89,"0","HNRNPAB","CD8_Memory_GPR183"
1.29053676168435e-95,0.372823050446162,0.372,0.251,2.44234082148764e-91,"0","MRFAP1","CD8_Memory_GPR183"
4.26069398079837e-164,0.370972601655932,0.762,0.537,8.06336335866092e-160,"0","PDCD4","CD8_Memory_GPR183"
6.45473992100796e-62,0.370611049322807,0.262,0.18,1.22155953005076e-57,"0","CHCHD7","CD8_Memory_GPR183"
1.94542918124614e-107,0.367362253689857,0.458,0.315,3.68172472550832e-103,"0","EIF5A","CD8_Memory_GPR183"
5.32104795392346e-100,0.365336120094615,0.411,0.279,1.00700832528001e-95,"0","RAP1A","CD8_Memory_GPR183"
4.36682379094418e-86,0.364135026892126,0.343,0.228,8.26421402436187e-82,"0","DDX3Y","CD8_Memory_GPR183"
7.99704095521009e-86,0.362316006171711,0.331,0.22,1.51344000077351e-81,"0","TBCC","CD8_Memory_GPR183"
8.49546302822325e-97,0.360423009748885,0.395,0.268,1.60776637809125e-92,"0","AKIRIN1","CD8_Memory_GPR183"
1.70544245742596e-84,0.360170475752777,0.355,0.244,3.22754985067864e-80,"0","NRBP1","CD8_Memory_GPR183"
