"Phase","CD8_Cluster","n_donors","mean_percentage","median_percentage","sd_percentage"
"AC","0",2,33.2530537880501,33.2530537880501,10.4532018571551
"AC","1",3,25.6022179215223,1.96956132497762,41.9307013369632
"AC","10",3,5.90574746185613,0.805729632945389,9.4837817742722
"AC","11",2,2.16473147581806,2.16473147581806,1.49650248607123
"AC","12",2,0.687560482084849,0.687560482084849,0.592532767210422
"AC","13",1,0.0838222967309304,0.0838222967309304,NA
"AC","15",2,3.81676611027772,3.81676611027772,5.27111420039218
"AC","2",2,1.83840064351948,1.83840064351948,0.185489214568202
"AC","3",3,5.21011345495199,4.90041100221309,3.86547958382326
"AC","4",2,0.611026497910741,0.611026497910741,0.148743617033975
"AC","5",2,10.0520482039563,10.0520482039563,6.92782602749063
"AC","6",2,13.319885165059,13.319885165059,10.7891558877703
"AC","7",2,27.7049343191801,27.7049343191801,35.1292315494456
"AC","8",2,1.29295448633781,1.29295448633781,1.33669115910456
"AC","9",2,0.139609421944818,0.139609421944818,0.0708293407808445
"AR","0",2,39.9931547783991,39.9931547783991,27.6183430494879
"AR","1",3,25.2871726694138,2.36658932714617,41.0859478199212
"AR","10",3,3.56100499320449,0.387346675274371,5.79471076690491
"AR","11",2,2.76695240848448,2.76695240848448,1.74744456644948
"AR","12",2,18.2920498068509,18.2920498068509,21.5778360352664
"AR","13",1,11.9987614181762,11.9987614181762,NA
"AR","14",1,0.0645577792123951,0.0645577792123951,NA
"AR","15",3,0.946989853883648,0.193673337637185,1.31176752419002
"AR","2",3,2.83501830609119,3.7122969837587,2.49917636000485
"AR","3",3,5.71051580576861,6.26450116009281,2.93392264910961
"AR","4",2,2.35649374868001,2.35649374868001,2.96739147135526
"AR","5",3,12.1572914389209,12.9761136216914,11.7538086129291
"AR","6",2,2.30096806711612,2.30096806711612,0.880299587212747
"AR","7",1,0.0645577792123951,0.0645577792123951,NA
"AR","8",2,2.31805865321388,2.31805865321388,1.83448528170461
"AR","9",1,0.322788896061975,0.322788896061975,NA
"IA","0",4,20.4676509857203,22.6042403476423,13.3586620789274
"IA","1",5,16.1053396545123,1.74004192872117,32.41732057844
"IA","10",5,1.02528378611888,0.171467764060357,1.5595965320207
"IA","11",4,3.43598708421378,2.47929357728435,2.76771825952057
"IA","12",4,0.528847434625566,0.40229978164081,0.540672800086617
"IA","13",1,0.0209643605870021,0.0209643605870021,NA
"IA","14",4,0.0628118131264033,0.0541505822004748,0.0313111989537468
"IA","15",5,4.60162675197908,0.228745711017918,9.85127160078995
"IA","2",4,20.9232823277764,4.21196003830525,35.1716669760928
"IA","3",4,11.5776074418802,10.8588270310842,4.34012976577579
"IA","4",4,18.7039737789119,14.5850689296489,20.4777962253155
"IA","5",4,9.7392029216123,9.01964869334236,6.83876164104558
"IA","6",4,3.85434927590849,4.12385759625625,2.09425081406025
"IA","7",2,0.0486064654631541,0.0486064654631541,0.0390918396083937
"IA","8",4,8.24330310221267,3.33291658086469,11.161789417184
"IA","9",4,0.268126770370753,0.224901312450496,0.244595878073386
"IT","0",6,41.0001550366544,44.8556310926715,18.7090055776514
"IT","1",5,1.59245291220809,1.37058513442277,0.843504688807812
"IT","10",4,0.537108595665624,0.53072567333208,0.271458560402553
"IT","11",5,5.62711359473053,6.48464163822526,2.16720132048052
"IT","12",4,0.315856582024882,0.238033908907758,0.265661234082106
"IT","14",4,7.0595856334688,0.266862258672315,13.6740047922217
"IT","15",5,0.562561347807539,0.455062571103527,0.474144737067288
"IT","2",6,16.2961710710262,3.25737758725296,30.5253212147192
"IT","3",6,10.6457028464414,10.3125631492902,1.54900112917205
"IT","4",5,4.27962151627488,4.5822102425876,2.10531313349503
"IT","5",4,9.82312970985339,5.63031689742129,11.2811319465986
"IT","6",5,7.697713045868,8.32927423283,2.30820964911585
"IT","7",2,0.12010025760635,0.12010025760635,0.0207474065754301
"IT","8",5,3.75195575737501,3.29920364050057,1.62194568549369
"IT","9",5,0.721562560936897,0.404312668463612,0.635273429058999
"NL","0",6,17.9224461226559,11.4110206628051,15.0019571220477
"NL","1",6,3.34531720504673,3.27681307456588,2.69484811888926
"NL","10",5,1.34997533843391,1.27118644067797,1.28859719299039
"NL","11",5,2.45737334019452,0.795593635250918,3.68686691335075
"NL","12",3,0.183472024043425,0.211864406779661,0.0714922238595852
"NL","13",1,0.21505376344086,0.21505376344086,NA
"NL","14",3,0.266312592236057,0.102145045965271,0.320461028737771
"NL","15",2,0.998341690685829,0.998341690685829,1.32531918122657
"NL","2",6,30.7227482332309,31.521186440678,28.0789163869531
"NL","3",6,16.0355003727393,13.5470043358297,8.07458999332174
"NL","4",3,0.359035679678691,0.408580183861083,0.0992222188226879
"NL","5",4,2.50401202243777,1.04124715389374,3.46900134663011
"NL","6",5,9.91488157337574,11.864406779661,6.73842623174041
"NL","7",2,0.158599404703065,0.158599404703065,0.0798385197820654
"NL","8",6,5.43054295076441,6.72619501577184,3.51885168400527
"NL","9",5,15.1356149003023,0.860215053763441,26.41320418531
