"Donor","Phase","CD8_State","n_cells","donor_total","proportion","percentage"
"P190911","IA","Cytotoxic_GammaDelta_like",9,4772,0.00188600167644593,0.188600167644593
"P190911","IA","GammaDelta_IL7R",45,4772,0.00943000838222967,0.943000838222967
"P190911","IA","GammaDelta_NK_like_TRM",5,4772,0.00104777870913663,0.104777870913663
"P190911","IA","GammaDelta_T_like",1,4772,0.000209555741827326,0.0209555741827326
"P190911","IA","NK_like",223,4772,0.0467309304274937,4.67309304274937
"P190911","IA","NK_like_Nonconventional",11,4772,0.00230511316010059,0.230511316010059
"P190911","IA","Treg_like",92,4772,0.019279128248114,1.9279128248114
"P191008","AR","CD8_Cytotoxic_Effector",2,6860,0.000291545189504373,0.0291545189504373
"P191008","AR","CD8_Immediate_Early_Stress",197,6860,0.0287172011661808,2.87172011661808
"P191008","AR","CD8_Naive_Memory",4694,6860,0.684256559766764,68.4256559766764
"P191008","AR","Cytotoxic_GammaDelta_like",569,6860,0.0829446064139942,8.29446064139942
"P191008","AR","GammaDelta_NK_like_TRM",631,6860,0.0919825072886297,9.19825072886297
"P191008","AR","GammaDelta_Nonconventional",762,6860,0.111078717201166,11.1078717201166
"P191008","AR","NK_like_Nonconventional",2,6860,0.000291545189504373,0.0291545189504373
"P191008","AR","Treg_like",3,6860,0.00043731778425656,0.043731778425656
"P191028","IA","CD8_Activated",79,5857,0.0134881338569233,1.34881338569233
"P191028","IA","CD8_Cytotoxic_Effector",61,5857,0.0104148881680041,1.04148881680041
"P191028","IA","CD8_Immediate_Early_Stress",329,5857,0.0561721017585795,5.61721017585795
"P191028","IA","CD8_Memory_GPR183",256,5857,0.0437083831312959,4.37083831312959
"P191028","IA","CD8_Memory_P2RY8",104,5857,0.017756530647089,1.7756530647089
"P191028","IA","CD8_Naive_Memory",25,5857,0.00426839679016561,0.426839679016561
"P191028","IA","CD8_PD1_Dysfunctional",3719,5857,0.634966706505037,63.4966706505037
"P191028","IA","Cytotoxic_GammaDelta_like",7,5857,0.00119515110124637,0.119515110124637
