"PC","Standard_Deviation","Variance","Percent_Variance","Cumulative_Percent_Variance"
1,4.94723383425403,24.4751226107879,16.3828104222059,16.3828104222059
2,3.33171702317139,11.10033832249,7.43018702098538,23.8129974431913
3,3.15335020047152,9.94361748681375,6.65591763473326,30.4689150779246
4,2.81104139139022,7.90195370410905,5.28929769048047,35.7582127684051
5,2.49971965020349,6.24859832961347,4.18259812081387,39.9408108892189
6,2.35187012468792,5.53129308339958,3.70245850923961,43.6432693984585
7,2.17171211289647,4.71633350130127,3.15695242342364,46.8002218218822
8,2.10247833738863,4.42041515918848,2.95887480083594,49.7590966227181
9,1.92958036619274,3.7232803895965,2.49223661680823,52.2513332395263
10,1.87017486323792,3.49755401908697,2.34114310058126,54.5924763401076
11,1.80960323073557,3.27466385268863,2.19194804243399,56.7844243825416
12,1.72877221644759,2.9886533763611,2.00050240651414,58.7849267890557
13,1.61776823914868,2.61717407559821,1.7518468611691,60.5367736502248
14,1.57936932967217,2.49440747950913,1.66967109837964,62.2064447486045
15,1.56807398991914,2.45885603786092,1.6458741786248,63.8523189272293
16,1.4999458970691,2.24983769413441,1.50596444438202,65.3582833716113
17,1.45873822132578,2.12791719835669,1.42435503221804,66.7826384038294
18,1.43548076647185,2.06060503091062,1.3792985683174,68.1619369721467
19,1.40927823387031,1.98606514046063,1.3294041137092,69.4913410858559
20,1.38602419213532,1.92106306118438,1.28589394386177,70.7772350297177
21,1.37068594528871,1.87877996061201,1.25759108173699,72.0348261114547
22,1.33645768719472,1.78611914966187,1.19556710238847,73.2303932138432
23,1.33001874924414,1.76894987334094,1.18407457573088,74.414467789574
24,1.29742764855406,1.68331850323253,1.12675586378859,75.5412236533626
25,1.28473484555508,1.65054362338342,1.10481747958856,76.6460411329512
26,1.27296236982669,1.62043319499477,1.08466258811499,77.7307037210662
27,1.26311362423952,1.5954560277395,1.06794372616958,78.7986474472358
28,1.25829476925099,1.58330572632441,1.05981072974616,79.8584581769819
29,1.2397099043125,1.53688064685052,1.02873536853341,80.8871935455153
30,1.22943958898073,1.51152170295311,1.01176095835434,81.8989545038697
31,1.21864473374645,1.48509498708796,0.994071818120594,82.8930263219903
32,1.21530437131784,1.47696471494425,0.988629691871447,83.8816560138617
33,1.20197233497995,1.44473749405716,0.967057891859502,84.8487139057212
34,1.19722117321949,1.43333853760505,0.959427820070462,85.8081417257917
35,1.18650979665298,1.40780549755349,0.942336875877074,86.7504786016687
36,1.18491276746293,1.40401826649667,0.939801832869702,87.6902804345384
37,1.17401122046621,1.37830234578057,0.922588474611033,88.6128689091495
38,1.17150564747381,1.37242548206302,0.918654702932225,89.5315236120817
39,1.16711659739872,1.36216115192356,0.911784111210995,90.4433077232927
40,1.16247017457677,1.35133690678054,0.904538731526424,91.3478464548191
41,1.15868320543544,1.34254677055815,0.898654914819688,92.2465013696388
42,1.15380172879156,1.33125842936239,0.891098885101995,93.1376002547408
43,1.14779972550266,1.31744420986398,0.881852118792706,94.0194523735335
44,1.14440970174826,1.30967356545555,0.876650715056095,94.8961030885896
45,1.13803921067611,1.29513324503631,0.866917921611315,95.7630210102009
46,1.13275786547294,1.28314038179081,0.858890308916783,96.6219113191177
47,1.12730131350985,1.27080825144104,0.85063560242011,97.4725469215378
48,1.12501933725427,1.26566850919604,0.847195234657387,98.3197421561952
49,1.12311611344374,1.26138980427697,0.84433121584709,99.1640733720423
50,1.11751230794579,1.24883375841033,0.835926627957709,100
