"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.23171820248866,0.622,0.117,0,"8","KLRC3"
1.00596200023028e-261,2.088402357472,0.313,0.074,1.9037830854358e-257,"8","GNLY"
0,2.03535543310784,0.392,0.088,0,"8","LINC02446"
3.01134344001441e-273,2.00225324817625,0.278,0.056,5.69896746022726e-269,"8","TRGV5"
4.80952573818429e-280,1.80761544220392,0.36,0.086,9.10202745951376e-276,"8","CD300A"
9.24686534124999e-292,1.65554685625291,0.417,0.106,1.74996926583156e-287,"8","NCR3"
0,8.56617582921132,0.261,0,0,"9","IGLV5-45"
0,6.9799453772225,0.277,0.002,0,"9","IGKV1-9"
0,6.47304912422065,0.39,0.005,0,"9","IGLV1-40"
0,6.45095969795489,0.357,0.004,0,"9","IGHG1"
0,5.50301726093495,0.282,0.006,0,"9","IGKC"
0,5.26080627543406,0.429,0.012,0,"9","IGKV3-20"
0,2.46909975281412,0.295,0.053,0,"9","TRBV28"
2.35760154125109e-144,1.30666607725775,0.435,0.185,4.46176091681768e-140,"9","LGALS1"
5.05213522978653e-97,1.29156470034384,0.334,0.152,9.56116592237101e-93,"9","NINJ1"
2.65110589358919e-122,1.25745004735164,0.428,0.199,5.01721790361754e-118,"9","GZMB"
0,4.54634134206717,0.3,0.016,0,"10","CD4"
0,4.51494594217924,0.378,0.027,0,"10","TNFRSF4"
0,3.93803221038839,0.265,0.028,0,"10","TNFRSF18"
5.64031515304547e-216,2.77488105715062,0.283,0.06,1.06742964271386e-211,"10","DUSP16"
1.51021780389983e-306,2.59431814436619,0.426,0.099,2.85808719388044e-302,"10","CTLA4"
1.97570269855389e-148,2.06608097842611,0.344,0.111,3.73901735701323e-144,"10","SNX9"
1.25530176754342e-254,1.99518977050859,0.558,0.198,2.37565859507593e-250,"10","ICOS"
5.14712973622489e-67,1.66637454821371,0.269,0.115,9.74094302580561e-63,"10","CD82"
4.51928070614435e-63,1.64264233894456,0.294,0.139,8.55273873637817e-59,"10","BATF"
6.91813128968871e-200,1.61378964126621,0.594,0.259,1.30925634657359e-195,"10","DUSP4"
0,3.56826767721322,0.252,0.028,0,"11","ZNF683"
0,3.39568689934022,0.408,0.051,0,"11","TRDC"
0,2.90988112956062,0.448,0.075,0,"11","GNLY"
0,2.6382028983225,0.47,0.091,0,"11","LINC02446"
1.90540251417694e-236,2.56644640721901,0.292,0.05,3.60597425807986e-232,"11","AC004832.6"
0,2.5548082419693,0.579,0.124,0,"11","TYROBP"
2.36913353000193e-151,2.26459729812595,0.327,0.092,4.48358520552865e-147,"11","TRDV1"
1.82045155082464e-230,2.20660925522489,0.435,0.11,3.44520455993562e-226,"11","PTGDR"
3.31254729057781e-171,2.17486176330171,0.332,0.082,6.26899574741851e-167,"11","IFITM3"
3.0160881237515e-158,2.0025603564107,0.379,0.112,5.70794677419972e-154,"11","NCR3"
0,4.74350285305679,0.418,0.019,0,"12","CX3CR1"
0,4.49522773345477,0.532,0.03,0,"12","FGFBP2"
0,4.3258829691754,0.349,0.021,0,"12","TRDV2"
0,3.07204766422336,0.526,0.073,0,"12","GNLY"
6.22976207927266e-180,2.73719695805185,0.273,0.055,1.17898247350235e-175,"12","TRDC"
6.58815407038902e-165,2.49163449502134,0.263,0.053,1.24680815782112e-160,"12","ADGRG1"
1.57266136180544e-151,2.02110625288324,0.37,0.105,2.9762616272168e-147,"12","TRGV9"
1.2870066644401e-140,1.9610317750428,0.368,0.11,2.43566011245288e-136,"12","FCGR3A"
0,1.89273292539671,0.767,0.245,0,"12","TXNIP"
8.03999133963573e-173,1.85244947322876,0.524,0.187,1.52156836102606e-168,"12","LGALS1"
0,5.76551284398381,0.694,0.013,0,"13","TRAV24"
0,4.87639750505003,0.938,0.032,0,"13","TRBV6-5"
0,3.72891495542285,0.74,0.071,0,"13","TRGV8"
0,3.2964543633683,0.441,0.048,0,"13","AC004832.6"
5.13301046074584e-200,2.52766461327699,0.322,0.057,9.7142222969615e-196,"13","HSPA6"
0,2.38951549653256,0.375,0.041,0,"13","TRBV4-1"
8.89643179694587e-218,2.32642760543105,0.459,0.108,1.683649717572e-213,"13","TRG-AS1"
6.34608709875451e-99,2.14904475521061,0.272,0.073,1.20099698343929e-94,"13","FGR"
1.30432128091126e-129,1.93757524726786,0.386,0.11,2.46842802412455e-125,"13","FCGR3A"
9.95820063666307e-171,1.87736429205236,0.555,0.191,1.88458947048849e-166,"13","CD160"
0,5.68846022460707,0.854,0.016,0,"14","TRDV2"
0,3.02434320934716,0.772,0.101,0,"14","TRGV9"
6.72481267811926e-204,2.97589950589766,0.258,0.033,1.27267079933407e-199,"14","FEZ1"
4.27536465862523e-229,2.79028730537748,0.331,0.048,8.09112761644825e-225,"14","IL12RB2"
3.73396224110221e-276,2.61275356888108,0.391,0.054,7.06652354128593e-272,"14","TRDC"
5.57422794813883e-192,2.43495702542741,0.317,0.05,1.05492263918527e-187,"14","KLRC1"
6.27651525344902e-160,2.30214772932371,0.348,0.069,1.18783051171523e-155,"14","CEBPD"
4.16510361845459e-289,2.06937207112653,0.711,0.164,7.88245859792531e-285,"14","IL7R"
7.40121080060332e-105,1.8130489177556,0.378,0.108,1.40067914401418e-100,"14","PBX4"
7.87381396735049e-85,1.80282348828985,0.303,0.084,1.49011929332108e-80,"14","CD83"
0,5.53180954122345,0.438,0.01,0,"15","PRSS23"
0,4.78243031395567,0.794,0.032,0,"15","FGFBP2"
0,4.51924768157008,0.49,0.022,0,"15","CX3CR1"
0,3.85973652867412,0.275,0.019,0,"15","VCL"
0,3.53988186160901,0.765,0.075,0,"15","GNLY"
2.65807317462591e-321,3.10681817318116,0.462,0.053,5.03040348297953e-317,"15","ADGRG1"
1.08370855042927e-195,3.08264153827522,0.315,0.039,2.05091843168739e-191,"15","GK5"
7.57934535198264e-172,2.87890282662177,0.31,0.043,1.43439110786272e-167,"15","S1PR1"
8.58013595883505e-200,2.87476172582411,0.379,0.056,1.62379073020953e-195,"15","CEP78"
5.08493806756792e-305,2.81525362839973,0.635,0.109,9.62324529287229e-301,"15","FCGR3A"
0,8.33083175054985,0.256,0.001,0,"16","ADGRG3"
0,5.51371798941583,0.522,0.018,0,"16","GRAMD2B"
0,4.96665755851357,0.51,0.022,0,"16","FCER1G"
0,4.9088624206702,0.495,0.023,0,"16","B3GNT7"
0,4.90648857250282,0.451,0.024,0,"16","LZTFL1"
0,4.64114938268094,0.293,0.015,0,"16","ZBTB16"
0,4.56982104041625,0.355,0.021,0,"16","SH2D1B"
2.52651289762987e-286,4.31797887300984,0.268,0.018,4.78142565876453e-282,"16","SLFN13"
2.07507571253324e-320,4.15922977719827,0.347,0.027,3.92708078596915e-316,"16","NCAM1"
2.17228595473482e-219,4.02123741809563,0.268,0.023,4.11105116933566e-215,"16","ADAMTS17"
