"Donor","Phase","CD8_Cluster","CD8_Biological_Annotation","Cells","Total_CD8_Cells","Fraction_of_Donor_CD8"
"P190326","IT","4","Activated/dysfunction-associated CD8 T-cell",12,258,0.0465116279069767
"P190326","IT","6","NK-like cytotoxic nonconventional T-cell population",20,258,0.0775193798449612
"P190326","IT","8","NK-like/nonconventional cytotoxic T-cell population",6,258,0.0232558139534884
"P190326","IT","9","NK-like cytotoxic population",4,258,0.0155038759689922
"P190402","IT","0","GZMK-associated memory-like CD8 T-cell",1230,2053,0.599123234291281
"P190402","IT","1","Memory-associated conventional T-cell",12,2053,0.00584510472479299
"P190402","IT","10","NK/gamma-delta-like nonconventional T-cell population",5,2053,0.00243546030199708
"P190402","IT","11","Gamma-delta-like T-cell population",82,2053,0.0399415489527521
"P190402","IT","12","Activated/dysfunction-associated tissue-associated CD8 T-cell",14,2053,0.00681928884559182
"P190402","IT","14","NK-like cytotoxic population",3,2053,0.00146127618119825
"P190402","IT","15","Gamma-delta-like nonconventional T-cell population",3,2053,0.00146127618119825
"P190402","IT","2","Activated/dysfunction-associated CD8 T-cell",32,2053,0.0155869459327813
"P190402","IT","3","Immediate-early-response CD8-associated population",194,2053,0.0944958597174866
"P190402","IT","4","Activated/dysfunction-associated CD8 T-cell",31,2053,0.0150998538723819
"P190402","IT","5","Activation/tissue-associated CD8-associated population",163,2053,0.0793960058451047
"P190402","IT","6","NK-like cytotoxic nonconventional T-cell population",171,2053,0.0832927423283
"P190402","IT","8","NK-like/nonconventional cytotoxic T-cell population",108,2053,0.0526059425231369
"P190402","IT","9","NK-like cytotoxic population",5,2053,0.00243546030199708
"P190604","IT","0","GZMK-associated memory-like CD8 T-cell",393,742,0.529649595687331
"P190604","IT","1","Memory-associated conventional T-cell",16,742,0.0215633423180593
"P190604","IT","10","NK/gamma-delta-like nonconventional T-cell population",5,742,0.00673854447439353
"P190604","IT","11","Gamma-delta-like T-cell population",61,742,0.0822102425876011
"P190604","IT","12","Activated/dysfunction-associated tissue-associated CD8 T-cell",1,742,0.00134770889487871
"P190604","IT","14","NK-like cytotoxic population",1,742,0.00134770889487871
"P190604","IT","15","Gamma-delta-like nonconventional T-cell population",7,742,0.00943396226415094
"P190604","IT","2","Activated/dysfunction-associated CD8 T-cell",28,742,0.0377358490566038
"P190604","IT","3","Immediate-early-response CD8-associated population",69,742,0.0929919137466307
"P190604","IT","4","Activated/dysfunction-associated CD8 T-cell",34,742,0.045822102425876
"P190604","IT","5","Activation/tissue-associated CD8-associated population",13,742,0.0175202156334232
"P190604","IT","6","NK-like cytotoxic nonconventional T-cell population",68,742,0.091644204851752
"P190604","IT","7","Gamma-delta-like cytotoxic T-cell population",1,742,0.00134770889487871
"P190604","IT","8","NK-like/nonconventional cytotoxic T-cell population",42,742,0.0566037735849057
"P190604","IT","9","NK-like cytotoxic population",3,742,0.00404312668463612
"P190716","AR","0","GZMK-associated memory-like CD8 T-cell",922,1549,0.595222724338283
"P190716","AR","1","Memory-associated conventional T-cell",12,1549,0.00774693350548741
"P190716","AR","10","NK/gamma-delta-like nonconventional T-cell population",6,1549,0.00387346675274371
"P190716","AR","11","Gamma-delta-like T-cell population",62,1549,0.040025823111685
"P190716","AR","12","Activated/dysfunction-associated tissue-associated CD8 T-cell",47,1549,0.0303421562298257
"P190716","AR","14","NK-like cytotoxic population",1,1549,0.000645577792123951
"P190716","AR","15","Gamma-delta-like nonconventional T-cell population",3,1549,0.00193673337637185
"P190716","AR","2","Activated/dysfunction-associated CD8 T-cell",74,1549,0.0477727566171724
"P190716","AR","3","Immediate-early-response CD8-associated population",129,1549,0.0832795351839897
"P190716","AR","4","Activated/dysfunction-associated CD8 T-cell",4,1549,0.0025823111684958
"P190716","AR","5","Activation/tissue-associated CD8-associated population",201,1549,0.129761136216914
"P190716","AR","6","NK-like cytotoxic nonconventional T-cell population",26,1549,0.0167850225952227
"P190716","AR","7","Gamma-delta-like cytotoxic T-cell population",1,1549,0.000645577792123951
"P190716","AR","8","NK-like/nonconventional cytotoxic T-cell population",56,1549,0.0361523563589413
"P190716","AR","9","NK-like cytotoxic population",5,1549,0.00322788896061975
"P190719","IA","1","Memory-associated conventional T-cell",20,27,0.740740740740741
"P190719","IA","10","NK/gamma-delta-like nonconventional T-cell population",1,27,0.037037037037037
"P190719","IA","15","Gamma-delta-like nonconventional T-cell population",6,27,0.222222222222222
"P190801","IA","0","GZMK-associated memory-like CD8 T-cell",966,2916,0.331275720164609
"P190801","IA","1","Memory-associated conventional T-cell",47,2916,0.0161179698216735
"P190801","IA","10","NK/gamma-delta-like nonconventional T-cell population",5,2916,0.00171467764060357
"P190801","IA","11","Gamma-delta-like T-cell population",214,2916,0.0733882030178327
