"Phase","Cells","Median_nCount_RNA","Median_nFeature_RNA","Median_percent_mt","Median_RNA_complexity","Doublet_Rate"
"NL",5867,2064.38365960121,946,1.84098315164444,0.459556531967778,0
"IT",5933,2446.5371491909,1316,1.74472984350098,0.536872704762178,0
"IA",15969,2229.53645348549,1076,1.80935095969609,0.482382595529681,0
"AR",10790,2203.61161065102,1051,1.84904231876964,0.476735903595631,0
"AC",5670,2382.90823447704,1232,1.67206615229332,0.516733699222114,0
