"Final_Cell_Type","Cells"
"CD8_T",41281
"NK",25316
"MAIT",16945
"CD4_T",10635
"B_Cell",3432
"Unresolved_Lymphoid",2831
"Monocyte_Myeloid",2489
"Treg",1534
"Dendritic_Cell",1042
"Plasma_Cell",812
"pDC",275
