"","AC","AR","IA","IT","NL"
"0",0.106965174129353,0.107960199004975,0.502985074626866,0.159701492537313,0.122388059701493
"1",0.12882096069869,0.789519650655022,0.0489082969432314,0.0139737991266376,0.0187772925764192
"2",0.0727620871230254,0.0746768788894208,0.181905217807563,0.218764959310675,0.451890856869315
"3",0.0871306960440661,0.0696044066099149,0.504256384576865,0.238357536304457,0.100650976464697
"4",0.0914534567229178,0.0593358737071312,0.196516058791508,0.238976592270005,0.413718018508438
"5",0.0804953560371517,0.0441176470588235,0.277863777089783,0.268575851393189,0.328947368421053
"6",0.18381775333857,0.584446190102121,0.140612725844462,0.0337784760408484,0.0573448546739984
"7",0.163490471414243,0.0491474423269809,0.323971915747242,0.183550651955868,0.279839518555667
"8",0,0,0,0,1
"9",0.0294117647058824,0.00464396284829721,0.939628482972136,0.00619195046439629,0.0201238390092879
"10",0.175406871609403,0.081374321880651,0.69620253164557,0.0235081374321881,0.0235081374321881
"11",0.052,0.01,0.05,0.094,0.794
"12",0.134663341645885,0.0448877805486284,0.0748129675810474,0.643391521197007,0.102244389027431
"13",0.112271540469974,0.107049608355091,0.0678851174934726,0.540469973890339,0.172323759791123
"14",0.210674157303371,0.48314606741573,0.182584269662921,0.0393258426966292,0.0842696629213483
"15",0.467479674796748,0.390243902439024,0.040650406504065,0.0121951219512195,0.0894308943089431
"16",0.235772357723577,0.16260162601626,0.211382113821138,0.333333333333333,0.0569105691056911
"17",0,0,0,0,1
