p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
3.7726117971268364e-73,1.449393880073639,0.32,0.115,7.139667826062538e-69,8,PBX4
0,7.341412928598607,0.711,0.009,0,9,TMEM176A
0,7.066119784917716,0.382,0.005,0,9,CDA
0,6.945270221919635,0.752,0.009,0,9,S100A12
0,6.876815862831115,0.845,0.014,0,9,TMEM176B
0,6.813312292209545,0.393,0.006,0,9,RBP7
0,6.776901091841923,0.368,0.007,0,9,ASGR1
0,6.48781314725663,0.257,0.006,0,9,KCNE3
0,6.365444163330031,0.78,0.015,0,9,VCAN
0,6.298505156399056,0.265,0.007,0,9,MGST1
0,6.281261632031883,0.313,0.006,0,9,LMO2
0,5.997880777818208,0.501,0.015,0,10,TCL1A
0,5.987356639674829,0.331,0.009,0,10,IGHV5-78
0,5.3409943874573464,0.55,0.022,0,10,VPREB3
0,5.253154545004594,0.568,0.023,0,10,LINC00926
0,5.181915747426448,0.257,0.015,0,10,CD180
0,5.132475843870873,0.36,0.016,0,10,CD24
0,5.102334333298378,0.439,0.02,0,10,LINC02397
0,5.01902829756715,0.448,0.025,0,10,HLA-DOB
0,4.945735267531039,0.269,0.013,0,10,IGHD
0,4.775441802152395,0.322,0.021,0,10,GAPT
0,15.866056757883827,0.354,0,0,11,DPEP1
0,12.877301728355704,0.594,0,0,11,SDC1
0,11.1708565467586,0.284,0,0,11,BHLHA15
0,8.750428931454609,0.262,0.001,0,11,IGKV3OR2-268
0,8.111807788949145,0.422,0.003,0,11,IGHG4
0,7.934910564907499,0.392,0.002,0,11,LINC02362
0,7.9134458596109205,0.27,0.001,0,11,IGF1
0,7.7936142321910955,0.714,0.003,0,11,TNFRSF17
0,7.720471742891364,0.328,0.002,0,11,PYCR1
0,7.4293611543457185,0.956,0.011,0,11,DERL3
0,8.51400667224587,0.324,0.001,0,12,CD1E
0,8.191152901853417,0.431,0.003,0,12,C1QC
0,7.946632577809867,0.456,0.003,0,12,C1QB
0,7.8157241148484955,0.264,0.002,0,12,APOE
0,7.703828993660819,0.362,0.002,0,12,FPR3
0,7.6478361980193785,0.344,0.002,0,12,RAB7B
0,7.572806898173034,0.294,0.001,0,12,AXL
0,7.375962843169657,0.264,0.002,0,12,IDO1
0,7.292195293369425,0.317,0.002,0,12,VSIG4
0,7.2649452818328735,0.337,0.002,0,12,CYP2S1
0,9.722782114734324,0.298,0.001,0,13,TNFAIP6
0,7.2834804450849635,0.319,0.003,0,13,PTX3
0,7.223585809468958,0.561,0.005,0,13,EREG
0,6.782440669574646,0.501,0.004,0,13,AQP9
0,6.711707751913428,0.572,0.006,0,13,CDC42EP2
0,6.617637174099812,0.392,0.005,0,13,CXCL3
0,6.541771648648767,0.822,0.012,0,13,G0S2
0,6.49386794407025,0.595,0.009,0,13,CXCL2
0,6.124231363144188,0.77,0.018,0,13,IL1B
0,6.070224396840798,0.366,0.006,0,13,OLR1
0,4.059262871483548,0.632,0.057,0,14,CX3CR1
5.469912739270515e-299,3.8047479635479737,0.449,0.039,1.035180985906945e-294,14,PRSS23
5.378802300543814e-109,3.51646954741436,0.275,0.04,1.0179383353779168e-104,14,IGFBP7
0,3.4484378561758433,0.837,0.093,0,14,FGFBP2
1.7954902372954775e-117,3.1597413237480567,0.315,0.047,3.397965274081691e-113,14,LAIR2
7.484442282420748e-177,3.048723038756852,0.452,0.067,1.4164307019481263e-172,14,ADGRG1
1.6216205065909301e-304,2.8064597301253427,0.829,0.143,3.068916808723335e-300,14,GNLY
1.924321832165007e-102,2.6968346329569175,0.379,0.077,3.641779067372276e-98,14,TTC38
8.22886593436751e-220,2.657178525532745,0.716,0.145,1.5573128780790513e-215,14,FCGR3A
7.506049424735998e-179,2.6275249791297086,0.657,0.149,1.4205198536312876e-174,14,SPON2
5.547699349968106e-270,3.5638877516039176,0.707,0.085,1.049902101981464e-265,15,TRDC
6.44304759250025e-97,3.297246426402338,0.297,0.037,1.2193467568806724e-92,15,CAPN12
5.318963030885617e-115,3.105443130845734,0.419,0.063,1.006613753595103e-110,15,TXK
4.615420611571645e-70,3.0291331134720756,0.297,0.05,8.734683507399338e-66,15,FHL3
9.381896840290263e-91,3.011125601845688,0.394,0.07,1.775523977024932e-86,15,TMIGD2
2.005049357893885e-116,2.999381098546049,0.443,0.069,3.7945559098141772e-112,15,KLRC1
2.2512739405819628e-148,2.987147727150635,0.585,0.1,4.2605359325513645e-144,15,PTGDR
1.8920204131650552e-253,2.785297508023546,0.959,0.182,3.580648631914867e-249,15,FCER1G
6.037101044169842e-126,2.766817154522445,0.593,0.119,1.1425213726091427e-121,15,CCL3
1.1049542590162379e-159,2.6737422850214103,0.715,0.14,2.09112593518823e-155,15,KLRF1
0,13.754786228708339,0.667,0,0,16,LRRC26
0,11.909234628186324,0.699,0,0,16,SCT
0,11.528383658512372,0.407,0,0,16,SHD
0,11.020439239900478,0.325,0,0,16,KCNK17
0,10.567979603470869,0.309,0,0,16,KRT5
0,10.152177959608853,0.659,0.001,0,16,PTCRA
0,9.845623078772157,0.626,0.001,0,16,PTPRS
0,9.734910988455221,0.821,0.001,0,16,CLEC4C
0,9.000235470456179,0.935,0.003,0,16,LILRA4
0,8.848808718878981,0.325,0.001,0,16,DRD4
1.2508390159764728e-110,3.9172883577363464,0.305,0.016,2.367212837735475e-106,17,IGLV3-27
2.9087986488877782e-68,3.665286139191291,0.257,0.019,5.5049014430201205e-64,17,LDB2
3.196984843445699e-161,3.4231703346659588,0.762,0.07,6.050293816220985e-157,17,KLRC1
4.958984191542625e-87,3.3339214329725433,0.419,0.038,9.384877582494419e-83,17,NDFIP2
5.213591542438221e-64,3.268871246035305,0.257,0.02,9.866721994064332e-60,17,IGLV5-45
1.464690028997981e-51,3.245031471402869,0.267,0.026,2.771925879878679e-47,17,SERPINE2
3.6488680671386556e-93,3.2238032386499063,0.467,0.044,6.905482817059906e-89,17,KIR2DL4
3.6947586536920235e-142,3.1670451594212343,0.743,0.073,6.992330752112155e-138,17,SH2D1B
1.267326132741163e-71,2.8129899334645914,0.514,0.067,2.398414706212651e-67,17,TRGC1
1.4816751909659895e-62,2.6722845184947506,0.352,0.036,2.8040702989031352e-58,17,IGLV1-40
