"Myeloid_Cluster","LYZ","TYROBP","FCER1G","CTSS","CTSD","AIF1","CST3","S100A8","S100A9","FCN1","CD14","VCAN","TREM1","FCAR","FPR2","OLR1","C1QA","C1QB","C1QC","APOE","TREM2","CD68","MSR1","MARCO","LPL","FOLR2","HLA-DRA","HLA-DRB1","HLA-DPA1","HLA-DPB1","CD74","CIITA","FCER1A","CD1C","CLEC10A","GZMB","JCHAIN","IRF7","TCF4","CLEC4C","FCGR3B","CSF3R","FPR1","MNDA","CD3D","CD3E","TRBC1","TRBC2","CD8A","CD8B","MS4A1","CD79A","NKG7","GNLY"
"0",4.84660773575047,4.04502977346816,3.19692272842189,3.13666194610149,0.947927135544452,3.04208985795586,4.00961250195995,5.49619453840429,4.37993910420179,3.22694354437789,1.88315412787283,2.57250774527051,0.235609695328285,0.0427016515061841,0.20071946912916,0.00191347286790118,0.00659579364300188,0.00208082410013376,0.00207616160046196,0.00174191715607722,0.00137891432356028,1.41395002148613,0.0384191271541228,0.109418650916216,0.00266167327619488,0.102815196499655,2.9428094527252,2.83188499540013,1.96765940135598,1.82031542884714,4.1353729500113,0.196002589394916,0.0261001377031272,0.0543766986362229,0.0914685470274191,0.0017322983208265,0.0140219751070193,0.389178213045479,0.0833668716038607,0,0.00108374498868547,1.22946069851608,1.2262030567486,2.40585792447212,0.00273472241288356,0,0,0,0,0,0.00135983349650401,0.00293085726053944,0.0814237978700338,0.00312358456286573
"1",4.35304755404109,3.42727164990729,3.05909242009161,2.93015820495153,0.964672142625406,2.67353229098401,3.72886712102934,3.83313924661954,3.84176899306763,2.82420554366795,1.50123123082982,2.07895731788203,1.07378665296984,0.391656682928464,0.473135816848884,0.696126894150015,0.149980301665966,0.0961701230753001,0.0852966001845655,0.0233042323717902,0.0211543990944861,1.90193073031348,0.134637459584487,0.196401799863953,0.0195645556795211,0.111306983351891,3.59124808006551,3.25681593513636,2.33121485069096,2.21216894169618,4.39711286051799,0.209246436785476,0.0563535191612361,0.105083777742871,0.295304147873895,0.0222756535687322,0.0113343691054404,0.658252793578043,0.167603437356846,0,0.00600766841729726,1.16961619951325,1.41035305186302,1.5151614549531,0.0135929911456233,0.0234978037365412,0.0154804975850556,0.0182801014837021,0.017124027794425,0.00605605407194658,0.0174762124456867,0.0142886527514054,0.232804230438726,0.029361358133413
"2",2.13047852668734,3.51874616387345,3.72925380865733,3.22704881642546,0.576024764350482,3.40911495224351,3.70877902067843,0.783984870605525,1.59804377137196,1.86608382970804,0.239458063351256,0.202758114252772,0.727722919235627,0.195508374876919,0.738505025882096,0.307641764127073,0.585011158138514,0.234481478198653,0.0876707072768892,0.00243433919690904,0,2.43201736360788,0.297265985714538,0.0808740476412432,0.0299328962961833,0.0328682930696578,3.21775298902676,2.93453781253525,2.77988877626402,2.07631090389831,4.07802368381194,0.040364287261452,0,0.00502560961814154,0.0209414080849715,0.00910150791917528,0.00284202716180257,0.927845995873213,0.0950988153261798,0,0.268320463597775,0.205656594286362,1.1715721111922,0.687201727891252,0.00404133239672298,0.0313513534409659,0.00724439926090696,0.00691074310314089,0.0130097741882006,0.00204567859570185,0.00837633616867521,0.0115285961046105,0.243340602942876,0.0166782287969476
"3",2.44576463008517,3.97694674987254,3.95751616811584,3.22437032077843,0.395123163929255,3.79372134309775,4.35001404209609,1.73405357426552,1.52570677582872,2.45117518211001,0.296112880479321,0.297343248192076,0.0833109987919406,0.00281207131833996,0.279106714068369,0,0.41620949216108,0.212230155830249,0.0942879430818052,0,0,2.30881517135634,0.131954380564471,0.120720587433859,0.0119773958260094,0.0331679845867224,3.13641213149148,3.10849964576559,3.14109922255728,2.45308938548759,4.39886420312282,0.0939071924020882,0,0.0285949487989446,0.0532548952018414,0,0.0129136672710783,0.526362751271615,0.0600772377880218,0,0.315654465461367,0.204183853557169,0.869977833736069,1.26572242452905,0,0,0,0,0,0.00442231249051042,0,0.0311135773945192,0.181352128620282,0.00667097079880247
"4",4.5784614016028,3.97807662276661,3.32350616420017,3.14368611398865,0.716705616782693,3.0627301475581,4.04279678008136,5.11783108991735,4.06896520712796,3.07003557156114,1.65636014412431,2.29801013013896,0.288897384615505,0,0.160929164465736,0,0.0801143891671125,0.0267649678622975,0,0,0,1.52109959195642,0.0262518209569594,0.194824883166482,0,0.0807380448369418,2.80432943210882,2.94317892895025,2.23463053212446,2.05555707742186,4.16545253641465,0.315256825264763,0,0,0.0464206337928772,0.0206191206679625,0,0.480560769053066,0.0462782400495865,0,0,1.15216872446677,1.13734902353848,2.28287117621478,0,0,0,0,0,0,0,0,0.0623507412040934,0
