"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.10012397414658e-15,2.7855074553832,0.124,0.029,1.00256231415832e-10,"3","LINC02384"
5.9978643559895e-107,2.61904918376415,0.802,0.233,1.46659779232655e-102,"3","IFITM1"
4.80033893992817e-47,2.55762319374162,0.42,0.119,1.17377887759123e-42,"3","MS4A4A"
5.60780014701919e-58,2.54519631284158,0.466,0.12,1.37121929194913e-53,"3","CALML4"
6.9937273596984e-20,2.50108906439428,0.216,0.065,1.71010621399345e-15,"3","ICAM4"
4.77566180710288e-33,2.46915330492623,0.3,0.08,1.1677448250728e-28,"3","BATF3"
4.6710873106339e-135,2.42780649748898,0.915,0.241,1.1421742691962e-130,"3","FCGR3A"
2.92694492632377e-14,2.39037229455889,0.159,0.049,7.15696573384688e-10,"3","PPM1N"
2.47082117406587e-17,2.34264015417941,0.184,0.054,6.04165193482586e-13,"3","CKS1B"
2.7505134013606e-29,2.31915365200538,0.286,0.08,6.72555536900695e-25,"3","AC064805.1"
7.61034808176823e-83,2.27981771808115,0.749,0.249,1.86088231295397e-78,"3","RHOC"
2.66377372669528e-30,2.24419899024463,0.378,0.133,6.51345951651529e-26,"3","IL3RA"
2.78138136628194e-45,2.22597824476708,0.502,0.169,6.80103371683261e-41,"3","CX3CR1"
8.78780269513982e-49,2.21949271242881,0.449,0.121,2.14879351501559e-44,"3","CDKN1C"
4.52924030331562e-64,10.2351269666148,0.118,0,1.10748983896674e-59,"4","CALD1"
2.88126797093123e-56,10.1684907940303,0.103,0,7.04527644252104e-52,"4","LY6G6F"
9.82589666984613e-127,9.19331764184834,0.25,0,2.40262825371078e-122,"4","CMTM5"
1.47150433617755e-64,9.07496594711742,0.132,0,3.59812240282134e-60,"4","LTBP1"
6.83207644370034e-137,8.57899506367754,0.294,0.001,1.67057933201361e-132,"4","TREML1"
5.27299379962614e-80,8.57622596671135,0.162,0,1.28935244388458e-75,"4","TMEM40"
9.37887456083404e-88,8.55582722188438,0.176,0,2.29332240761514e-83,"4","AL731557.1"
4.2807070561962e-66,8.04361650990325,0.147,0.001,1.0467184893811e-61,"4","C2orf88"
5.43132576622443e-106,7.6914840852258,0.235,0.001,1.3280677763572e-101,"4","GP9"
1.8718831478262e-90,7.39173306076929,0.25,0.003,4.57712867306463e-86,"4","MPIG6B"
3.97240242049069e-91,7.26569112183367,0.235,0.002,9.71331839858383e-87,"4","MYL9"
1.74051159287903e-58,7.25782860362651,0.132,0.001,4.25589894690781e-54,"4","SH3BGRL2"
1.84342023729686e-32,7.24628572732345,0.103,0.002,4.50753116423829e-28,"4","HIST1H2BJ"
5.68881170427876e-51,6.99253844411684,0.118,0.001,1.39102823793024e-46,"4","PF4V1"
1.94539096662942e-196,6.97960997797673,0.603,0.011,4.75686999160227e-192,"4","PF4"
1.82646217126439e-58,6.82133228638605,0.132,0.001,4.46606530117568e-54,"4","GRAP2"
1.19830861582975e-159,6.7463919762237,0.426,0.005,2.93010422742691e-155,"4","TUBB1"
2.73948719064123e-183,6.60201231253934,0.926,0.047,6.69859407855593e-179,"4","PPBP"
2.64847126965911e-59,6.56761384169584,0.162,0.002,6.47604194857046e-55,"4","ITGA2B"
2.53746901075703e-37,6.37448299291311,0.132,0.003,6.20461922510308e-33,"4","CLEC1B"
