GSM,donor,phase,tissue,platform,instrument,library_selection,library_source,library_strategy,genes_in_matrix,cells_in_matrix,duplicated_gene_ids,duplicated_cell_ids,min_expression_value,median_expression_value,max_expression_value,median_genes_detected_per_cell,mean_genes_detected_per_cell,min_genes_detected_per_cell,max_genes_detected_per_cell,data_type,normalization,raw_counts_available
GSM5519502,P191112,IA,Liver,GPL20301,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,24452,6070,0,0,0,0,8.58102893829346,1430,1451.4446457990116,536,4055,processed_log_normalized_expression,"log-counts-per-10,000",FALSE
GSM5519471,P190326,IT,Liver,GPL20301,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,24452,1379,0,0,0,0,8.04185390472412,843,1157.4060913705584,527,5332,processed_log_normalized_expression,"log-counts-per-10,000",FALSE
GSM5519472,P190402,IT,Liver,GPL20301,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,24452,7110,0,0,0,0,8.93960952758789,1464,1540.9101265822785,535,4989,processed_log_normalized_expression,"log-counts-per-10,000",FALSE
GSM5519469,P190604,IT,Liver,GPL20301,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,24452,3085,0,0,0,0,8.63173675537109,1278,1365.8531604538086,534,4412,processed_log_normalized_expression,"log-counts-per-10,000",FALSE
GSM5519495,P190808,IT,Liver,GPL20301,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,24452,5168,0,0,0,0,9.00522327423096,1527,1547.6840170278638,540,5758,processed_log_normalized_expression,"log-counts-per-10,000",FALSE
GSM5519491,P190902,IT,Liver,GPL20301,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,24452,66,0,0,0,0,6.3161244392395,643.5,656.530303030303,527,1052,processed_log_normalized_expression,"log-counts-per-10,000",FALSE
GSM5519494,P190910,IT,Liver,GPL20301,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,24452,2693,0,0,0,0,8.96426582336426,1546,1625.2580764946156,550,5825,processed_log_normalized_expression,"log-counts-per-10,000",FALSE
GSM5519484,D528848,NL,Liver,GPL20301,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,24452,4733,0,0,0,0,8.85691738128662,1171,1193.969364039721,528,3642,processed_log_normalized_expression,"log-counts-per-10,000",FALSE
GSM5519485,D529074,NL,Liver,GPL20301,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,24452,5956,0,0,0,0,9.00842666625977,1193,1268.0686702484888,531,4239,processed_log_normalized_expression,"log-counts-per-10,000",FALSE
GSM5519486,D529351,NL,Liver,GPL20301,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,24452,690,0,0,0,0,8.61132717132568,674.5,791.036231884058,525,3056,processed_log_normalized_expression,"log-counts-per-10,000",FALSE
GSM5519487,D529354,NL,Liver,GPL20301,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,24452,5233,0,0,0,0,8.71064853668213,850,944.9535639212688,528,3304,processed_log_normalized_expression,"log-counts-per-10,000",FALSE
GSM5519488,D529409,NL,Liver,GPL20301,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,24452,3364,0,0,0,0,8.83199310302734,729,813.2253269916765,524,5309,processed_log_normalized_expression,"log-counts-per-10,000",FALSE
GSM5519483,Dhc570,NL,Liver,GPL20301,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,24452,4243,0,0,0,0,8.47662353515625,1194,1207.761725194438,529,3509,processed_log_normalized_expression,"log-counts-per-10,000",FALSE
